Payload_Mass_Range,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-1T,3829.5,1283.0,0.0,0.0,0.0,0.0,3220.0
1-2T,13159.25,8907.958,2932.0,3400.0,1443.0,0.0,5974.0
2-3T,15823.0,26961.872,2847.82,0.0,0.0,0.0,7894.0
3-4T,22206.0,13994.458,13600.0,54709.0,3700.0,0.0,0.0
4-5T,9550.0,8936.724,26952.0,92544.0,0.0,0.0,0.0
5-6T,112377.2,0.0,0.0,59907.0,0.0,0.0,5700.0
6-7T,19195.0,0.0,0.0,71991.0,6840.0,0.0,0.0
7-8T,45660.225,0.0,0.0,28740.0,0.0,7200.0,0.0
8-9T,69000.0,0.0,0.0,0.0,0.0,0.0,0.0
9-10T,0.0,10000.0,0.0,0.0,9200.0,0.0,0.0
10-11T,326364.94,0.0,0.0,0.0,0.0,0.0,0.0
11-12T,11870.0,0.0,0.0,0.0,0.0,0.0,0.0
12-13T,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-14T,68484.0,68724.0,0.0,0.0,0.0,0.0,0.0
14-15T,393727.0,0.0,0.0,0.0,0.0,0.0,0.0
15-16T,1442422.0,15860.0,0.0,0.0,0.0,0.0,0.0
16-17T,1664120.0,16165.0,0.0,0.0,0.0,0.0,0.0
17-18T,295440.0,0.0,0.0,0.0,0.0,0.0,0.0
18-19T,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19-20T,0.0,0.0,0.0,0.0,0.0,0.0,0.0
