Payload_Mass,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
0-1t,0,2,0,4,0,0,0
1-2t,0,9,0,9,0,1,0
2-3t,0,37,0,3,0,2,0
3-4t,0,46,0,9,0,3,0
4-5t,0,24,0,7,0,3,0
5-6t,0,9,0,1,0,0,0
6-7t,0,11,0,1,0,0,0
7-8t,0,12,0,1,0,3,0
8-9t,0,16,0,5,0,0,0
9-10t,0,18,0,10,0,1,0
10-11t,0,3,0,0,0,0,0
11-12t,0,0,0,0,0,0,0
12-13t,0,0,0,0,0,0,0
13-14t,0,0,0,0,0,0,0
14-15t,0,0,0,0,0,0,0
15-16t,0,0,0,0,0,0,0
16-17t,0,0,0,0,0,0,0
17-18t,0,0,0,0,0,0,0
18-19t,0,0,0,0,0,0,0
19-20t,0,5,0,0,0,0,0
