Launch_Year,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
1979,0,0,0,1,0,0,0
1980,0,0,0,1,0,0,0
1981,0,0,0,2,0,0,0
1982,0,0,0,1,0,0,0
1983,0,0,0,2,0,0,0
1984,0,3,0,1,0,0,0
1985,0,3,0,1,0,0,0
1986,0,1,0,2,0,0,0
1987,0,2,0,0,0,0,0
1988,0,4,0,2,0,1,0
1989,0,5,0,2,0,0,0
1990,0,5,0,0,0,1,0
1991,0,6,0,2,0,0,0
1992,0,6,0,1,0,0,0
1993,0,5,0,2,0,0,0
1994,0,7,0,1,0,0,0
1995,0,8,0,2,0,1,0
1996,0,8,0,3,0,0,0
1997,0,6,0,6,0,0,0
1998,0,11,0,0,0,0,0
1999,0,8,0,1,0,1,0
2000,0,12,0,0,0,0,0
2001,0,7,0,0,0,1,0
2002,0,11,0,1,0,0,0
2003,0,4,0,0,0,0,0
2004,0,2,0,0,0,1,0
2005,0,2,0,2,0,1,0
2006,0,4,0,0,0,1,0
2007,0,5,0,1,0,0,0
2008,0,5,0,0,0,1,0
2009,0,6,0,0,0,1,0
2010,0,6,0,0,0,0,0
2011,0,4,0,1,0,0,0
2012,0,5,0,1,0,1,0
2013,0,2,0,2,0,0,0
2014,0,5,0,1,0,0,0
2015,0,5,0,1,0,0,0
2016,0,6,0,1,0,0,0
2017,0,4,0,2,0,0,0
2018,0,4,0,1,0,1,0
2019,0,2,0,2,0,0,0
2020,0,1,0,2,0,0,0
2021,0,3,0,0,0,0,0
2022,0,2,0,1,0,0,0
2023,0,2,0,0,0,0,0
2024,0,0,0,1,0,0,0
2025,0,0,0,2,0,1,0
