Launch_Year,Ariane 1,Ariane 2,Ariane 3,Ariane 4,Ariane 5,Ariane 6
1979,1,0,0,0,0,0
1980,1,0,0,0,0,0
1981,2,0,0,0,0,0
1982,1,0,0,0,0,0
1983,2,0,0,0,0,0
1984,2,0,2,0,0,0
1985,1,0,3,0,0,0
1986,1,1,1,0,0,0
1987,0,1,1,0,0,0
1988,0,2,3,2,0,0
1989,0,2,1,4,0,0
1990,0,0,0,6,0,0
1991,0,0,0,8,0,0
1992,0,0,0,7,0,0
1993,0,0,0,7,0,0
1994,0,0,0,8,0,0
1995,0,0,0,11,0,0
1996,0,0,0,10,1,0
1997,0,0,0,11,1,0
1998,0,0,0,10,1,0
1999,0,0,0,9,1,0
2000,0,0,0,8,4,0
2001,0,0,0,6,2,0
2002,0,0,0,8,4,0
2003,0,0,0,1,3,0
2004,0,0,0,0,3,0
2005,0,0,0,0,5,0
2006,0,0,0,0,5,0
2007,0,0,0,0,6,0
2008,0,0,0,0,6,0
2009,0,0,0,0,7,0
2010,0,0,0,0,6,0
2011,0,0,0,0,5,0
2012,0,0,0,0,7,0
2013,0,0,0,0,4,0
2014,0,0,0,0,6,0
2015,0,0,0,0,6,0
2016,0,0,0,0,7,0
2017,0,0,0,0,6,0
2018,0,0,0,0,6,0
2019,0,0,0,0,4,0
2020,0,0,0,0,3,0
2021,0,0,0,0,3,0
2022,0,0,0,0,3,0
2023,0,0,0,0,2,0
2024,0,0,0,0,0,1
2025,0,0,0,0,0,2
