Launch_Year,LEO,SSO,MEO,GTO,GEO,HEO,BEO
1979,0,0,0,1,0,0,0
1980,0,0,0,1,0,0,0
1981,0,0,0,2,0,0,0
1982,0,0,0,1,0,0,0
1983,0,0,0,2,0,0,0
1984,0,0,0,4,0,0,0
1985,0,0,0,4,0,0,0
1986,0,1,0,2,0,0,0
1987,0,0,0,2,0,0,0
1988,0,0,0,7,0,0,0
1989,0,0,0,7,0,0,0
1990,0,1,0,5,0,0,0
1991,0,1,0,7,0,0,0
1992,1,0,0,6,0,0,0
1993,0,1,0,6,0,0,0
1994,0,0,0,8,0,0,0
1995,0,2,0,9,0,0,0
1996,0,0,0,11,0,0,0
1997,0,0,0,12,0,0,0
1998,0,1,0,10,0,0,0
1999,0,1,0,8,0,0,1
2000,0,0,0,12,0,0,0
2001,0,0,0,8,0,0,0
2002,0,2,0,10,0,0,0
2003,0,0,0,4,0,0,0
2004,0,1,0,1,0,0,1
2005,0,0,0,5,0,0,0
2006,0,0,0,5,0,0,0
2007,0,0,0,6,0,0,0
2008,1,0,0,5,0,0,0
2009,0,1,0,5,0,0,1
2010,0,0,0,6,0,0,0
2011,1,0,0,4,0,0,0
2012,1,0,0,6,0,0,0
2013,1,0,0,3,0,0,0
2014,1,0,0,5,0,0,0
2015,0,0,0,6,0,0,0
2016,0,0,1,6,0,0,0
2017,0,0,1,5,0,0,0
2018,0,0,1,4,0,0,1
2019,0,0,0,4,0,0,0
2020,0,0,0,3,0,0,0
2021,0,0,0,2,0,0,1
2022,0,0,0,3,0,0,0
2023,0,0,0,1,0,0,1
2024,1,0,0,0,0,0,0
2025,0,3,0,0,0,0,0
