Mass_Range,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
0-1t,0.0,1.217,0.0,3.538,0.0,0.0,0.0
1-2t,0.0,12.189,0.0,13.538,0.0,1.744,0.0
2-3t,0.0,100.305,0.0,7.422,0.0,5.228,0.0
3-4t,0.0,162.08,0.0,31.564,0.0,10.626,0.0
4-5t,0.0,108.28,0.0,29.575,0.0,13.092,0.0
5-6t,0.0,50.284,0.0,5.115,0.0,0.0,0.0
6-7t,0.0,72.438,0.0,6.976,0.0,0.0,0.0
7-8t,0.0,91.465,0.0,7.664,0.0,23.206,0.0
8-9t,0.0,134.446,0.0,42.935,0.0,0.0,0.0
9-10t,0.0,172.891,0.0,94.214,0.0,9.05,0.0
10-11t,0.0,30.381,0.0,0.0,0.0,0.0,0.0
11-12t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-13t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-14t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-15t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-16t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16-17t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-18t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-19t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19-20t,0.0,98.596,0.0,0.0,0.0,0.0,0.0
