Mass_Range,Ariane 1,Ariane 2,Ariane 3,Ariane 4,Ariane 5,Ariane 6
0-1t,4.755,0.0,0.0,0.0,0.0,0.0
1-2t,2.812,2.108,12.939,4.189,3.763,1.66
2-3t,2.16,6.235,2.595,84.659,17.306,0.0
3-4t,0.0,0.0,0.0,185.752,14.956,3.562
4-5t,0.0,0.0,0.0,114.791,32.116,0.0
5-6t,0.0,0.0,0.0,0.0,55.399,0.0
6-7t,0.0,0.0,0.0,0.0,79.414,0.0
7-8t,0.0,0.0,0.0,0.0,122.335,0.0
8-9t,0.0,0.0,0.0,0.0,177.381,0.0
9-10t,0.0,0.0,0.0,0.0,276.155,0.0
10-11t,0.0,0.0,0.0,0.0,30.381,0.0
11-12t,0.0,0.0,0.0,0.0,0.0,0.0
12-13t,0.0,0.0,0.0,0.0,0.0,0.0
13-14t,0.0,0.0,0.0,0.0,0.0,0.0
14-15t,0.0,0.0,0.0,0.0,0.0,0.0
15-16t,0.0,0.0,0.0,0.0,0.0,0.0
16-17t,0.0,0.0,0.0,0.0,0.0,0.0
17-18t,0.0,0.0,0.0,0.0,0.0,0.0
18-19t,0.0,0.0,0.0,0.0,0.0,0.0
19-20t,0.0,0.0,0.0,0.0,98.596,0.0
