Mass_Range,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-1t,0.0,0.0,0.0,4.755,0.0,0.0,0.0
1-2t,1.66,0.0,0.0,23.973,0.0,0.0,1.838
2-3t,2.5,22.506,8.672,76.312,0.0,0.0,2.965
3-4t,0.0,3.562,0.0,196.944,0.0,0.0,3.764
4-5t,0.0,9.007,0.0,137.9,0.0,0.0,0.0
5-6t,0.0,0.0,0.0,44.113,0.0,0.0,11.286
6-7t,0.0,0.0,0.0,73.253,0.0,0.0,6.161
7-8t,0.0,0.0,0.0,122.335,0.0,0.0,0.0
8-9t,0.0,8.211,0.0,169.17,0.0,0.0,0.0
9-10t,0.0,0.0,0.0,276.155,0.0,0.0,0.0
10-11t,0.0,0.0,0.0,30.381,0.0,0.0,0.0
11-12t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-13t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-14t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-15t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-16t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16-17t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-18t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-19t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19-20t,98.596,0.0,0.0,0.0,0.0,0.0,0.0
