Launch_Year,Atlas 1,Atlas 2,Atlas 3,Atlas 5
1958,1,0,0,0
1959,2,0,0,0
1960,5,0,0,0
1961,11,0,0,0
1962,16,0,0,0
1963,10,0,0,0
1964,18,0,0,0
1965,19,0,0,0
1966,33,0,0,0
1967,14,0,0,0
1968,8,0,0,0
1969,5,0,0,0
1970,3,0,0,0
1971,6,0,0,0
1972,6,0,0,0
1973,4,0,0,0
1974,2,0,0,0
1975,5,0,0,0
1976,4,0,0,0
1977,7,0,0,0
1978,14,0,0,0
1979,4,0,0,0
1980,8,0,0,0
1981,6,0,0,0
1982,3,0,0,0
1983,6,0,0,0
1984,5,0,0,0
1985,5,0,0,0
1986,3,0,0,0
1987,3,0,0,0
1988,2,0,0,0
1989,1,0,0,0
1990,3,0,0,0
1991,3,1,0,0
1992,2,3,0,0
1993,3,3,0,0
1994,4,3,0,0
1995,2,10,0,0
1996,1,6,0,0
1997,1,7,0,0
1998,0,6,0,0
1999,0,5,0,0
2000,0,7,1,0
2001,0,4,0,0
2002,0,3,1,1
2003,0,1,2,2
2004,0,4,1,1
2005,0,0,1,2
2006,0,0,0,2
2007,0,0,0,4
2008,0,0,0,2
2009,0,0,0,5
2010,0,0,0,4
2011,0,0,0,5
2012,0,0,0,6
2013,0,0,0,8
2014,0,0,0,9
2015,0,0,0,9
2016,0,0,0,8
2017,0,0,0,6
2018,0,0,0,5
2019,0,0,0,2
2020,0,0,0,5
2021,0,0,0,4
2022,0,0,0,7
2023,0,0,0,2
2024,0,0,0,2
2025,0,0,0,4
