Mass_Range,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
0-1t,0.0,2.611,0.0,44.788,0.0,34.028,0.0
1-2t,0.0,10.326,0.0,30.2851,0.0,104.602,0.0
2-3t,0.0,69.292,0.0,9.569,0.0,42.1698,0.0
3-4t,0.0,104.375,0.0,3.13,0.0,65.843,0.0
4-5t,0.0,25.031,0.0,0.0,0.0,50.64,0.0
5-6t,0.0,43.226,0.0,0.0,0.0,33.093,0.0
6-7t,0.0,25.937,0.0,6.174,0.0,85.12,0.0
7-8t,0.0,8.0,0.0,16.0,0.0,7.076,0.0
8-9t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-10t,0.0,0.0,0.0,0.0,0.0,9.8,0.0
10-11t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-12t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-13t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-14t,0.0,39.69,0.0,0.0,0.0,0.0,0.0
