Launch_Year,LEO,SSO,MEO,GTO,GEO,HEO,BEO
1958,1,0,0,0,0,0,0
1959,0,0,0,0,0,0,2
1960,2,1,0,0,0,0,2
1961,6,1,2,0,0,0,2
1962,5,4,2,0,0,0,5
1963,2,4,3,0,0,1,0
1964,2,8,2,0,0,2,4
1965,9,4,1,0,0,1,4
1966,18,3,4,1,0,1,6
1967,2,2,1,1,0,0,8
1968,3,0,1,1,1,0,2
1969,0,0,1,1,1,0,2
1970,1,0,0,1,1,0,0
1971,1,0,0,2,1,0,2
1972,1,1,0,2,1,0,1
1973,0,0,0,2,0,0,2
1974,0,0,1,1,0,0,0
1975,1,0,0,3,1,0,0
1976,1,0,0,3,0,0,0
1977,2,0,1,4,0,0,0
1978,2,1,4,5,0,0,2
1979,1,2,0,1,0,0,0
1980,2,1,2,3,0,0,0
1981,0,1,1,4,0,0,0
1982,0,1,0,2,0,0,0
1983,2,2,1,1,0,0,0
1984,1,1,2,1,0,0,0
1985,1,0,1,3,0,0,0
1986,1,1,0,1,0,0,0
1987,1,1,0,1,0,0,0
1988,0,2,0,0,0,0,0
1989,0,0,0,1,0,0,0
1990,1,1,0,1,0,0,0
1991,0,2,0,2,0,0,0
1992,0,0,0,5,0,0,0
1993,0,1,0,5,0,0,0
1994,0,2,0,5,0,0,0
1995,0,1,0,10,0,0,1
1996,1,0,0,6,0,0,0
1997,0,0,0,8,0,0,0
1998,0,0,0,5,0,1,0
1999,0,1,0,4,0,0,0
2000,0,0,0,8,0,0,0
2001,1,0,1,2,0,0,0
2002,0,0,0,5,0,0,0
2003,1,0,0,4,0,0,0
2004,0,0,0,5,0,1,0
2005,1,0,0,1,0,0,1
2006,0,0,0,1,0,0,1
2007,2,0,0,1,0,1,0
2008,0,0,0,1,0,1,0
2009,0,1,0,3,0,0,1
2010,2,0,0,2,0,0,0
2011,2,0,0,1,0,0,2
2012,2,0,0,4,0,0,0
2013,1,1,1,4,0,0,1
2014,0,2,2,4,0,1,0
2015,3,0,2,4,0,0,0
2016,1,1,1,4,0,0,1
2017,2,0,0,3,0,1,0
2018,0,0,0,3,1,0,1
2019,1,0,0,1,0,0,0
2020,1,0,1,1,0,0,2
2021,0,1,0,1,1,0,1
2022,1,1,0,2,3,0,0
2023,1,0,0,0,1,0,0
2024,1,0,0,0,1,0,0
2025,1,0,0,0,0,0,0
