Mass_Range,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-1t,8.823,14.598,11.435,26.352,2.46,1.727,16.032
1-2t,61.0421,38.944,12.844,23.588,1.525,0.0,7.27
2-3t,26.2938,21.607,2.7,55.425,0.0,5.5,9.505
3-4t,3.13,0.0,0.0,136.626,14.467,15.5,3.625
4-5t,15.0,0.0,0.0,60.671,0.0,0.0,0.0
5-6t,10.357,5.19,0.0,60.772,0.0,0.0,0.0
6-7t,19.346,0.0,7.0,84.485,0.0,0.0,0.0
7-8t,31.076,0.0,0.0,0.0,0.0,0.0,0.0
8-9t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-10t,0.0,0.0,0.0,0.0,9.6,0.0,0.0
10-11t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-12t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-13t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-14t,13.23,0.0,0.0,0.0,0.0,0.0,0.0
