,Falcon 9,Vega,PSLV,H2,Ariane 6,Atlas 5,Soyuz,Shavit,Other
200-400kg,2,1,0,0,0,0,0,3,4
400-600kg,0,0,5,0,0,0,0,0,3
600-800kg,3,1,2,0,0,0,0,0,0
800-1000kg,5,3,1,0,0,1,0,0,1
1000-1200kg,3,2,1,0,0,1,1,0,1
1200-1400kg,6,2,0,0,0,0,0,0,0
1400-1600kg,4,0,0,4,1,0,1,0,1
1600-1800kg,3,1,1,0,1,0,0,0,0
1800-2000kg,4,0,0,0,0,0,0,0,0
2000-2200kg,3,1,0,0,1,0,0,0,0
2200-2400kg,3,0,0,0,0,0,0,0,1
2400-2600kg,2,0,0,0,0,0,0,0,0
2600-2800kg,1,0,0,0,0,1,0,0,0
2800-3000kg,1,0,0,1,0,1,0,0,2
3000-3200kg,2,0,0,0,0,0,0,0,0
3200-3400kg,2,0,0,1,0,0,0,0,0
3400-3600kg,1,0,0,0,1,0,1,0,0
3600-3800kg,2,0,0,0,0,0,0,0,0
3800-4000kg,3,0,0,0,0,0,0,0,0
4000-4200kg,0,0,0,0,1,0,0,0,0
4200-4400kg,1,0,0,0,0,0,0,0,0
4400-4600kg,1,0,0,0,0,0,0,0,0
4600-4800kg,0,0,0,0,0,0,0,0,0
4800-5000kg,1,0,0,0,0,0,0,0,1
