,Starlink,LEO Constellation,GEO/MEO Constellation,Small Sat Rideshare,Small Sat,Commercial LEO/SSO/MEO,Commercial GTO/GEO,Capsule/Cargo,High-Energy
0-1t,0,18,0,5,59,1,1,0,1
1-2t,1,1,0,3,0,7,1,0,4
2-3t,0,1,0,8,0,0,0,0,2
3-4t,0,0,5,3,0,1,6,0,0
4-5t,0,0,0,1,0,0,12,0,0
5-6t,1,6,0,1,0,2,3,0,0
6-7t,0,1,0,0,0,0,12,0,0
7-8t,0,0,0,0,0,1,3,4,1
8-9t,0,0,0,0,0,0,0,8,0
9-10t,0,0,0,0,0,0,4,0,0
10-11t,3,0,0,0,0,0,0,2,0
11-12t,1,3,0,0,0,0,0,0,0
12-13t,0,0,0,0,0,0,0,7,0
13-14t,23,4,0,0,0,0,0,13,0
14-15t,35,1,0,0,0,0,0,4,0
15-16t,79,1,0,0,0,0,0,9,0
16-17t,173,0,0,0,0,0,0,0,0
17-18t,33,0,0,0,0,0,0,0,0
18-19t,31,0,0,0,0,0,0,0,0
19-20t,0,0,0,0,0,0,0,0,0
