Year,Planet Labs,Spire,NASA,USAF,DoD,Orbcomm,US Army,SOCOM/LANL,USN,LARCN/SWRIB,NSPO,France,Other
2000,0,0,2,3,2,0,0,0,0,0,0,0,12
2001,0,0,4,1,0,0,0,0,0,0,0,0,5
2002,0,0,0,1,0,0,0,0,0,0,0,0,4
2003,0,0,5,1,0,0,0,0,0,0,0,0,1
2004,0,0,0,0,0,0,0,0,0,0,0,0,6
2005,0,0,0,1,0,0,0,0,0,0,0,0,2
2006,0,0,4,1,2,0,0,0,2,0,6,0,6
2007,0,0,6,3,1,0,0,0,0,0,0,0,6
2008,0,0,1,1,0,0,0,0,0,0,0,0,10
2009,0,0,1,0,1,0,0,0,0,0,0,2,19
2010,0,0,2,7,0,0,1,4,0,0,0,0,13
2011,0,0,0,1,0,0,0,0,0,0,0,4,12
2012,0,0,0,0,3,1,2,0,0,0,0,0,24
2013,0,0,4,5,2,0,6,8,1,0,0,0,41
2014,50,0,2,1,0,6,0,0,1,0,0,0,31
2015,40,4,3,0,4,11,3,0,6,0,0,0,37
2016,32,16,0,1,4,0,0,0,0,8,0,0,39
2017,98,28,4,2,5,0,1,0,2,0,0,0,79
