,Commercial,Government,Military
0-10kg,292,216,79
10-20kg,1,13,0
20-30kg,2,15,5
30-40kg,0,4,0
40-50kg,3,10,9
50-60kg,0,8,1
60-70kg,1,8,2
70-80kg,0,3,1
80-90kg,0,3,1
90-100kg,1,5,2
100-110kg,11,4,1
110-120kg,0,4,12
120-130kg,0,9,2
130-140kg,0,2,2
140-150kg,0,2,4
150-160kg,0,0,1
160-170kg,2,0,2
170-180kg,17,2,0
180-190kg,0,2,0
190-200kg,0,1,0
200-210kg,0,0,0
210-220kg,0,1,0
220-230kg,0,0,1
230-240kg,0,0,1
240-250kg,0,0,3
250-260kg,0,0,0
260-270kg,0,1,0
270-280kg,0,1,0
280-290kg,0,1,0
290-300kg,0,0,7
