Launch_Year,Delta 1,Delta 2,Delta 3,Delta 4M,Delta 4H
1972,5,0,0,0,0
1973,6,0,0,0,0
1974,7,0,0,0,0
1975,13,0,0,0,0
1976,10,0,0,0,0
1977,11,0,0,0,0
1978,11,0,0,0,0
1979,4,0,0,0,0
1980,4,0,0,0,0
1981,5,2,0,0,0
1982,8,0,0,0,0
1983,8,2,0,0,0
1984,4,2,0,0,0
1985,0,0,0,0,0
1986,2,1,0,0,0
1987,2,1,0,0,0
1988,1,0,0,0,0
1989,3,5,0,0,0
1990,1,10,0,0,0
1991,0,5,0,0,0
1992,0,11,0,0,0
1993,0,7,0,0,0
1994,0,3,0,0,0
1995,0,3,0,0,0
1996,0,10,0,0,0
1997,0,11,0,0,0
1998,0,12,1,0,0
1999,0,10,1,0,0
2000,0,6,1,0,0
2001,0,7,0,0,0
2002,0,3,0,1,0
2003,0,7,0,2,0
2004,0,7,0,0,1
2005,0,3,0,0,0
2006,0,6,0,3,0
2007,0,8,0,0,1
2008,0,5,0,0,0
2009,0,8,0,2,1
2010,0,1,0,2,1
2011,0,3,0,2,1
2012,0,0,0,3,1
2013,0,0,0,2,1
2014,0,1,0,3,1
2015,0,1,0,2,0
2016,0,0,0,3,1
2017,0,1,0,1,0
2018,0,1,0,1,1
2019,0,0,0,2,1
2020,0,0,0,0,1
2021,0,0,0,0,1
2022,0,0,0,0,1
2023,0,0,0,0,1
2024,0,0,0,0,1
