Mass_Range,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
0-1t,0.0,23.926,0.0,39.558,0.0,26.896,0.0
1-2t,0.0,35.583,0.0,17.312,0.0,53.473,0.0
2-3t,0.0,21.76359,0.0,2.75,0.0,20.015,0.0
3-4t,0.0,65.103,0.0,0.0,0.0,4.0,0.0
4-5t,0.0,12.925,0.0,0.0,0.0,29.4,0.0
5-6t,0.0,5.993,0.0,0.0,0.0,46.959,0.0
6-7t,0.0,0.0,0.0,0.0,0.0,34.0,0.0
7-8t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8-9t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-10t,0.0,9.4,0.0,0.0,0.0,0.0,0.0
10-11t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-12t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-13t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-14t,0.0,0.0,0.0,0.0,0.0,28.0,0.0
14-15t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-16t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16-17t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-18t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-19t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19-20t,0.0,0.0,0.0,0.0,0.0,60.0,0.0
