Mass_Range,Delta 1,Delta 2,Delta 3,Delta 4M,Delta 4H
0-1t,37.889,50.806,0.0,1.0,0.685
1-2t,12.713,79.1,0.0,14.555,0.0
2-3t,7.306,31.87359,0.0,3.0,2.349
3-4t,0.0,52.3,0.0,16.803,0.0
4-5t,0.0,4.277,8.648,4.4,25.0
5-6t,0.0,0.0,0.0,46.959,5.993
6-7t,0.0,0.0,0.0,21.0,13.0
7-8t,0.0,0.0,0.0,0.0,0.0
8-9t,0.0,0.0,0.0,0.0,0.0
9-10t,0.0,0.0,0.0,0.0,9.4
10-11t,0.0,0.0,0.0,0.0,0.0
11-12t,0.0,0.0,0.0,0.0,0.0
12-13t,0.0,0.0,0.0,0.0,0.0
13-14t,0.0,0.0,0.0,0.0,28.0
14-15t,0.0,0.0,0.0,0.0,0.0
15-16t,0.0,0.0,0.0,0.0,0.0
16-17t,0.0,0.0,0.0,0.0,0.0
17-18t,0.0,0.0,0.0,0.0,0.0
18-19t,0.0,0.0,0.0,0.0,0.0
19-20t,0.0,0.0,0.0,0.0,60.0
