Mass_Range,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-1t,2.984,9.019,24.508,37.514,1.0,3.319,12.036
1-2t,23.233,26.463,29.194,17.25,1.07,1.274,7.884
2-3t,17.265,21.91459,0.0,3.0,2.349,0.0,0.0
3-4t,46.11,6.19,0.0,12.803,0.0,4.0,0.0
4-5t,4.277,0.0,4.4,8.648,25.0,0.0,0.0
5-6t,0.0,0.0,0.0,46.959,5.993,0.0,0.0
6-7t,21.0,0.0,0.0,0.0,13.0,0.0,0.0
7-8t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8-9t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-10t,9.4,0.0,0.0,0.0,0.0,0.0,0.0
10-11t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-12t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-13t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-14t,0.0,28.0,0.0,0.0,0.0,0.0,0.0
14-15t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-16t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16-17t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-18t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-19t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19-20t,20.0,40.0,0.0,0.0,0.0,0.0,0.0
