Launch_Year,LEO,SSO,MEO,GTO,GEO,HEO,BEO
1972,0,3,0,1,0,0,1
1973,0,2,1,1,0,0,2
1974,0,1,0,6,0,0,0
1975,5,2,0,5,0,1,0
1976,1,1,1,7,0,0,0
1977,0,0,0,10,0,1,0
1978,1,2,0,7,0,0,1
1979,0,0,0,4,0,0,0
1980,1,0,0,3,0,0,0
1981,0,1,0,5,0,1,0
1982,1,1,0,6,0,0,0
1983,0,1,0,8,0,0,1
1984,0,1,0,4,0,1,0
1985,0,0,0,0,0,0,0
1986,1,0,0,2,0,0,0
1987,0,1,0,2,0,0,0
1988,1,0,0,0,0,0,0
1989,1,1,5,1,0,0,0
1990,2,0,5,4,0,0,0
1991,0,0,1,4,0,0,0
1992,1,0,6,3,0,0,1
1993,0,0,6,1,0,0,0
1994,0,0,1,1,0,0,1
1995,1,1,0,1,0,0,0
1996,0,1,3,2,0,1,3
1997,6,0,3,1,0,0,1
1998,7,0,0,4,0,0,2
1999,5,2,1,1,0,0,2
2000,1,1,3,1,0,1,0
2001,1,1,1,1,0,0,3
2002,1,1,0,1,0,0,1
2003,1,0,3,2,0,0,3
2004,2,1,3,0,1,0,1
2005,0,1,1,0,0,0,1
2006,1,2,2,2,0,1,1
2007,0,3,1,1,1,1,2
2008,2,2,0,1,0,0,0
2009,1,4,2,2,1,0,1
2010,0,1,1,1,1,0,0
2011,0,3,1,1,0,0,1
2012,1,0,1,1,1,0,0
2013,0,1,0,2,0,0,0
2014,1,1,2,0,1,0,0
2015,0,1,1,1,0,0,0
2016,1,0,0,1,2,0,0
2017,0,1,0,1,0,0,0
2018,2,0,0,0,0,0,1
2019,1,0,1,1,0,0,0
2020,0,0,0,0,1,0,0
2021,0,1,0,0,0,0,0
2022,0,1,0,0,0,0,0
2023,0,0,0,0,1,0,0
2024,0,0,0,0,1,0,0
