,Inc,LEO,SSO,BEO
0,32.73,555.0,,
1,37.02,609.0,,
2,39.12,,,1044.0
3,39.52,437.0,,
4,39.8,595.0,,
5,40.01,511.0,,
6,40.5,551.0,,
7,42.0,573.0,,
8,42.01,493.3333333333333,,
9,42.02,511.0,,
10,43.02,,550.0,
11,44.12,612.0,,
12,45.0,558.0,,
13,45.01,505.0,,
14,45.1,546.0,,
15,50.0,430.0,,
16,53.01,570.6666666666666,,
17,59.0,476.0,,
18,59.02,491.0,,
19,70.0,588.0,,
20,70.02,643.0,,
21,82.93,533.0,,
22,85.04,513.5,,
23,87.9,1224.0,,
24,90.0,1217.0,,
25,97.01,,414.0,
26,97.36,,509.0,
27,97.38,,512.0,
28,97.41,,528.0,
29,97.45,,535.0,
30,97.49,539.0,,
31,97.5,,534.0,
32,97.52,,566.0,
33,97.56,,580.5,
34,97.65,,597.0,
35,97.66,,575.0,
36,97.7,,600.0,
37,97.78,,572.0,
38,97.92,,651.0,
39,97.95,,640.0,
40,97.96,,652.0,
41,97.97,,647.0,
42,98.01,,640.0,
43,98.03,,639.0,
44,98.2,,597.0,
45,98.32,,761.0,
46,99.46,583.0,,
