,Inc,LEO,SSO,BEO
0,32.73,555.0,,
1,37.02,609.0,,
2,39.12,,,1044.0
3,39.52,437.0,,
4,39.8,595.0,,
5,40.01,511.0,,
6,40.5,551.0,,
7,41.98,588.0,,
8,42.0,577.5,,
9,42.01,528.4,,
10,42.02,499.6666666666667,,
11,43.02,550.0,,
12,44.12,612.0,,
13,45.0,558.0,,
14,45.01,505.0,,
15,45.1,546.0,,
16,50.0,430.0,,
17,53.01,570.6666666666666,,
18,59.0,476.0,,
19,59.02,491.0,,
20,70.0,588.0,,
21,70.02,643.0,,
22,82.93,533.0,,
23,85.04,513.5,,
24,87.9,1224.0,,
25,90.0,1217.0,,
26,95.98,,662.0,
27,97.01,,414.0,
28,97.36,,509.0,
29,97.38,,512.0,
30,97.41,,528.0,
31,97.44,,532.0,
32,97.45,,535.0,
33,97.49,539.0,,
34,97.5,,534.0,
35,97.52,,566.0,
36,97.56,,580.5,
37,97.65,,597.0,
38,97.66,,575.0,
39,97.7,,600.0,
40,97.78,,572.0,
41,97.92,,651.0,
42,97.95,,640.0,
43,97.96,,652.0,
44,97.97,669.0,647.0,
45,98.01,,640.0,
46,98.03,,639.0,
47,98.2,,597.0,
48,98.32,,761.0,
49,99.46,583.0,,
