Launch_Date,LEO,SSO,BEO
2018-01-21,82.93,,
2018-11-11,85.04,,
2018-12-16,85.04,,
2019-03-28,39.52,,
2019-05-05,40.01,,
2019-06-29,45.01,,
2019-08-19,45.01,,
2019-10-17,87.9,,
2019-12-06,,97.01,
2020-01-31,70.0,,
2020-06-13,,97.7,
2020-08-31,45.1,,
2020-10-28,,97.5,
2020-11-20,,97.36,
2020-12-15,,97.38,
2021-01-20,90.0,,
2021-03-22,45.0,,
2021-07-29,37.02,,
2021-11-18,42.02,,
2021-12-09,42.01,,
2022-02-28,,97.78,
2022-04-02,53.01,,
2022-05-02,,97.45,
2022-06-28,,,39.12
2022-07-13,39.8,,
2022-08-04,70.02,,
2022-09-15,,97.66,
2022-10-07,,98.32,
2022-11-04,,97.65,
2023-01-24,40.5,,
2023-03-16,44.12,,
2023-03-24,42.01,,
2023-05-08,32.73,,
2023-05-26,32.73,,
2023-07-18,99.46,,
2023-08-23,53.01,,
2023-12-15,42.02,,
2024-01-31,97.49,,
2024-02-18,,98.2,
2024-03-12,,97.56,
2024-03-21,50.0,,
2024-04-23,,97.41,
2024-05-25,,97.5,
2024-06-05,,97.45,
2024-06-20,,98.03,
2024-08-02,,43.02,
2024-08-11,53.01,,
2024-09-20,,98.01,
2024-11-05,,97.92,
2024-11-25,,97.95,
2024-12-21,,97.56,
2025-02-08,,97.96,
2025-02-18,59.0,,
2025-03-15,42.0,,
2025-03-18,,97.97,
2025-03-26,,97.52,
2025-05-17,42.01,,
2025-06-02,59.02,,
2025-06-11,42.01,,
2025-06-26,,97.44,
2025-06-28,95.98,,
