,Launch_Date,LEO,SSO,BEO
0,2018-01-21,22.2,,
1,2018-11-11,25.2,,
2,2018-12-16,49.66,,
3,2019-03-28,160.0,,
4,2019-05-05,161.0,,
5,2019-06-29,66.0,,
6,2019-08-19,85.0,,
7,2019-10-17,40.0,,
8,2019-12-06,,77.75,
9,2020-01-31,150.0,,
10,2020-06-13,,156.5,
11,2020-08-31,120.0,,
12,2020-10-28,,86.3,
13,2020-11-20,,61.815999999999995,
14,2020-12-15,,150.0,
15,2021-01-20,50.0,,
16,2021-03-22,115.0,,
17,2021-07-29,20.0,,
18,2021-11-18,110.0,,
19,2021-12-09,110.0,,
20,2022-02-28,,150.0,
21,2022-04-02,110.0,,
22,2022-05-02,,51.316,
23,2022-06-28,,,300.0
24,2022-07-13,100.0,,
25,2022-08-04,100.0,,
26,2022-09-15,,150.0,
27,2022-10-07,,118.0,
28,2022-11-04,,54.0,
29,2023-01-24,93.0,,
30,2023-03-16,224.0,,
31,2023-03-24,110.0,,
32,2023-05-08,8.0,,
33,2023-05-26,8.0,,
34,2023-07-18,88.0,,
35,2023-08-23,180.0,,
36,2023-12-15,120.0,,
37,2024-01-31,100.0,,
38,2024-02-18,,150.0,
39,2024-03-12,,150.0,
40,2024-03-21,130.0,,
41,2024-04-23,,116.1,
42,2024-05-25,,10.0,
43,2024-06-05,,10.0,
44,2024-06-20,,140.0,
45,2024-08-02,,150.0,
46,2024-08-11,180.0,,
47,2024-09-20,,140.0,
48,2024-11-05,,100.0,
49,2024-11-25,,140.0,
50,2024-12-21,,150.0,
51,2025-02-08,,140.0,
52,2025-02-18,138.0,,
53,2025-03-15,120.0,,
54,2025-03-18,,140.0,
55,2025-03-26,,120.0,
56,2025-05-17,120.0,,
57,2025-06-02,138.0,,
58,2025-06-11,120.0,,
59,2025-06-26,,105.0,
60,2025-06-28,,74.0,
61,2025-08-05,120.0,,
