Payload_Mass,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
0-10kg,0,4,0,0,0,0,0
10-20kg,0,0,0,0,0,1,0
20-30kg,0,2,0,0,0,0,0
30-40kg,0,1,0,0,0,0,0
40-50kg,0,1,0,0,0,1,0
50-60kg,0,1,0,1,0,0,0
60-70kg,0,1,0,0,0,1,0
70-80kg,0,2,0,0,0,0,0
80-90kg,0,3,0,0,0,0,0
90-100kg,0,3,0,0,0,2,0
100-110kg,0,5,0,0,0,0,0
110-120kg,0,10,0,1,0,0,0
120-130kg,0,0,0,0,0,1,0
130-140kg,0,8,0,0,0,0,0
140-150kg,0,9,0,0,0,1,0
150-160kg,0,0,0,0,0,2,0
160-170kg,0,0,0,0,0,1,0
170-180kg,0,2,0,0,0,0,0
180-190kg,0,0,0,0,0,0,0
190-200kg,0,0,0,0,0,0,0
200-210kg,0,0,0,0,0,0,0
210-220kg,0,0,0,0,0,0,0
220-230kg,0,1,0,0,0,0,0
230-240kg,0,0,0,0,0,0,0
240-250kg,0,0,0,0,0,0,0
250-260kg,0,0,0,0,0,0,0
260-270kg,0,0,0,0,0,0,0
270-280kg,0,0,0,0,0,0,0
280-290kg,0,0,0,0,0,0,0
290-300kg,0,1,0,0,0,0,0
