Mass_Range,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
0-10kg,0.0,36.0,0.0,0.0,0.0,0.0,0.0
10-20kg,0.0,0.0,0.0,0.0,0.0,20.0,0.0
20-30kg,0.0,47.4,0.0,0.0,0.0,0.0,0.0
30-40kg,0.0,40.0,0.0,0.0,0.0,0.0,0.0
40-50kg,0.0,50.0,0.0,0.0,0.0,49.66,0.0
50-60kg,0.0,51.316,0.0,54.0,0.0,0.0,0.0
60-70kg,0.0,61.815999999999995,0.0,0.0,0.0,66.0,0.0
70-80kg,0.0,151.75,0.0,0.0,0.0,0.0,0.0
80-90kg,0.0,259.3,0.0,0.0,0.0,0.0,0.0
90-100kg,0.0,293.0,0.0,0.0,0.0,200.0,0.0
100-110kg,0.0,545.0,0.0,0.0,0.0,0.0,0.0
110-120kg,0.0,1073.0,0.0,116.1,0.0,0.0,0.0
120-130kg,0.0,122.0,0.0,0.0,0.0,130.0,0.0
130-140kg,0.0,976.0,0.0,0.0,0.0,0.0,0.0
140-150kg,0.0,1050.0,0.0,0.0,0.0,150.0,0.0
150-160kg,0.0,0.0,0.0,0.0,0.0,316.5,0.0
160-170kg,0.0,0.0,0.0,0.0,0.0,161.0,0.0
170-180kg,0.0,360.0,0.0,0.0,0.0,0.0,0.0
180-190kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190-200kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200-210kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210-220kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220-230kg,0.0,224.0,0.0,0.0,0.0,0.0,0.0
230-240kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240-250kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250-260kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260-270kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270-280kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280-290kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290-300kg,0.0,300.0,0.0,0.0,0.0,0.0,0.0
