Launch_Month,LEO,SSO,MEO,GTO,GEO,HEO,BEO
Jan 2017,0,0,0,0,0,0,0
Feb 2017,0,0,0,0,0,0,0
Mar 2017,0,0,0,0,0,0,0
Apr 2017,0,0,0,0,0,0,0
May 2017,1,0,0,0,0,0,0
Jun 2017,0,0,0,0,0,0,0
Jul 2017,0,0,0,0,0,0,0
Aug 2017,0,0,0,0,0,0,0
Sep 2017,0,0,0,0,0,0,0
Oct 2017,0,0,0,0,0,0,0
Nov 2017,0,0,0,0,0,0,0
Dec 2017,0,0,0,0,0,0,0
Jan 2018,1,0,0,0,0,0,0
Feb 2018,0,0,0,0,0,0,0
Mar 2018,0,0,0,0,0,0,0
Apr 2018,0,0,0,0,0,0,0
May 2018,0,0,0,0,0,0,0
Jun 2018,0,0,0,0,0,0,0
Jul 2018,0,0,0,0,0,0,0
Aug 2018,0,0,0,0,0,0,0
Sep 2018,0,0,0,0,0,0,0
Oct 2018,0,0,0,0,0,0,0
Nov 2018,1,0,0,0,0,0,0
Dec 2018,1,0,0,0,0,0,0
Jan 2019,0,0,0,0,0,0,0
Feb 2019,0,0,0,0,0,0,0
Mar 2019,1,0,0,0,0,0,0
Apr 2019,0,0,0,0,0,0,0
May 2019,1,0,0,0,0,0,0
Jun 2019,1,0,0,0,0,0,0
Jul 2019,0,0,0,0,0,0,0
Aug 2019,1,0,0,0,0,0,0
Sep 2019,0,0,0,0,0,0,0
Oct 2019,1,0,0,0,0,0,0
Nov 2019,0,0,0,0,0,0,0
Dec 2019,0,1,0,0,0,0,0
Jan 2020,1,0,0,0,0,0,0
Feb 2020,0,0,0,0,0,0,0
Mar 2020,0,0,0,0,0,0,0
Apr 2020,0,0,0,0,0,0,0
May 2020,0,0,0,0,0,0,0
Jun 2020,0,1,0,0,0,0,0
Jul 2020,0,1,0,0,0,0,0
Aug 2020,1,0,0,0,0,0,0
Sep 2020,0,0,0,0,0,0,0
Oct 2020,0,1,0,0,0,0,0
Nov 2020,0,1,0,0,0,0,0
Dec 2020,0,1,0,0,0,0,0
Jan 2021,1,0,0,0,0,0,0
Feb 2021,0,0,0,0,0,0,0
Mar 2021,1,0,0,0,0,0,0
Apr 2021,0,0,0,0,0,0,0
May 2021,1,0,0,0,0,0,0
Jun 2021,0,0,0,0,0,0,0
Jul 2021,1,0,0,0,0,0,0
Aug 2021,0,0,0,0,0,0,0
Sep 2021,0,0,0,0,0,0,0
Oct 2021,0,0,0,0,0,0,0
Nov 2021,1,0,0,0,0,0,0
Dec 2021,1,0,0,0,0,0,0
Jan 2022,0,0,0,0,0,0,0
Feb 2022,0,1,0,0,0,0,0
Mar 2022,0,0,0,0,0,0,0
Apr 2022,1,0,0,0,0,0,0
May 2022,0,1,0,0,0,0,0
Jun 2022,0,0,0,0,0,0,1
Jul 2022,1,0,0,0,0,0,0
Aug 2022,1,0,0,0,0,0,0
Sep 2022,0,1,0,0,0,0,0
Oct 2022,0,1,0,0,0,0,0
Nov 2022,0,1,0,0,0,0,0
Dec 2022,0,0,0,0,0,0,0
Jan 2023,1,0,0,0,0,0,0
Feb 2023,0,0,0,0,0,0,0
Mar 2023,2,0,0,0,0,0,0
Apr 2023,0,0,0,0,0,0,0
May 2023,2,0,0,0,0,0,0
Jun 2023,0,0,0,0,0,0,0
Jul 2023,1,0,0,0,0,0,0
Aug 2023,1,0,0,0,0,0,0
Sep 2023,1,0,0,0,0,0,0
Oct 2023,0,0,0,0,0,0,0
Nov 2023,0,0,0,0,0,0,0
Dec 2023,1,0,0,0,0,0,0
Jan 2024,1,0,0,0,0,0,0
Feb 2024,0,1,0,0,0,0,0
Mar 2024,1,1,0,0,0,0,0
Apr 2024,0,1,0,0,0,0,0
May 2024,0,1,0,0,0,0,0
Jun 2024,0,2,0,0,0,0,0
Jul 2024,0,0,0,0,0,0,0
Aug 2024,1,1,0,0,0,0,0
Sep 2024,0,1,0,0,0,0,0
Oct 2024,0,0,0,0,0,0,0
Nov 2024,0,2,0,0,0,0,0
Dec 2024,0,1,0,0,0,0,0
Jan 2025,0,0,0,0,0,0,0
Feb 2025,1,1,0,0,0,0,0
Mar 2025,1,2,0,0,0,0,0
Apr 2025,0,0,0,0,0,0,0
May 2025,1,0,0,0,0,0,0
Jun 2025,1,0,0,0,0,0,0
Jul 2025,0,0,0,0,0,0,0
Aug 2025,0,0,0,0,0,0,0
Sep 2025,0,0,0,0,0,0,0
Oct 2025,0,0,0,0,0,0,0
Nov 2025,0,0,0,0,0,0,0
Dec 2025,0,0,0,0,0,0,0
