,Launch_Date,LEO,SSO,MEO,GTO,HEO,BEO
0,2010-06-04,260.0,,,,,
1,2010-12-08,308.0,,,,,
2,2012-05-22,399.0,,,,,
3,2012-10-08,417.0,,,,,
4,2013-03-01,321.0,,,,,
5,2013-09-29,1486.0,,,,,
6,2013-12-03,,,,79325.0,,
7,2014-01-06,,,,43400.0,,
8,2014-04-18,330.0,,,,,
9,2014-07-14,738.0,,,,,
10,2014-08-05,,,,35732.0,,
11,2014-09-07,,,,35762.0,,
12,2014-09-21,351.0,,,,,
13,2015-01-10,352.0,,,,,
14,2015-02-11,,,,,,1371156.0
15,2015-03-02,,,,63319.0,,
16,2015-04-14,393.0,,,,,
17,2015-04-27,,,,35785.0,,
18,2015-12-22,657.0,,,,,
19,2016-01-17,1322.0,,,,,
20,2016-03-04,,,,41805.0,,
21,2016-04-08,353.0,,,,,
22,2016-05-06,,,,35864.0,,
23,2016-05-27,,,,90292.0,,
24,2016-06-15,,,,62595.0,,
25,2016-07-18,392.0,,,,,
26,2016-08-14,,,,35801.0,,
27,2017-01-14,704.0,,,,,
28,2017-02-19,364.0,,,,,
29,2017-03-16,,,,35884.0,,
30,2017-03-30,,,,35722.0,,
31,2017-05-01,409.0,,,,,
32,2017-05-15,,,,70118.0,,
33,2017-06-03,408.0,,,,,
34,2017-06-23,,,,65360.0,,
35,2017-06-25,624.0,,,,,
36,2017-07-05,,,,37389.0,,
37,2017-08-14,408.0,,,,,
38,2017-08-24,,729.0,,,,
39,2017-09-07,356.0,,,,,
40,2017-10-09,635.0,,,,,
41,2017-10-11,,,,35928.0,,
42,2017-10-30,,,,50185.0,,
43,2017-12-15,464.0,,,,,
44,2017-12-23,626.0,,,,,
45,2018-01-08,659.0,,,,,
46,2018-01-31,,,,35801.0,,
47,2018-02-22,,518.0,,,,
48,2018-03-06,,,,35798.0,,
49,2018-03-30,625.0,,,,,
50,2018-04-02,396.0,,,,,
51,2018-04-18,,,,,,268488.0
52,2018-05-11,,,,35797.0,,
53,2018-05-22,504.0,,,,,
54,2018-06-04,,,,66120.0,,
55,2018-06-29,396.0,,,,,
56,2018-07-22,,,,35799.0,,
57,2018-07-25,624.0,,,,,
58,2018-08-07,,,,35793.0,,
59,2018-09-10,,,,35792.0,,
60,2018-10-08,,634.0,,,,
61,2018-11-15,,,,35808.0,,
62,2018-12-03,,588.0,,,,
63,2018-12-05,408.0,,,,,
64,2018-12-23,,,20189.0,,,
65,2019-01-11,626.0,,,,,
66,2019-02-22,,,,68865.0,,
67,2019-03-02,369.0,,,,,
68,2019-05-04,383.0,,,,,
69,2019-05-24,442.0,,,,,
70,2019-06-12,,604.0,,,,
71,2019-07-25,485.0,,,,,
72,2019-08-06,,,,35792.0,,
73,2019-11-11,300.0,,,,,
74,2019-12-05,379.0,,,,,
75,2019-12-17,,,,35800.0,,
76,2020-01-07,297.0,,,,,
77,2020-01-29,300.0,,,,,
78,2020-02-17,380.0,,,,,
79,2020-03-07,385.0,,,,,
80,2020-03-18,338.0,,,,,
81,2020-04-22,354.0,,,,,
