,Launch_Date,LEO,SSO,MEO,GTO,HEO,BEO
0,2010-06-04,34.5,,,,,
1,2010-12-08,34.54,,,,,
2,2012-05-22,51.61,,,,,
3,2012-10-08,51.64,,,,,
4,2013-03-01,51.68,,,,,
5,2013-09-29,81.0,,,,,
6,2013-12-03,,,,20.51,,
7,2014-01-06,,,,0.35,,
8,2014-04-18,51.65,,,,,
9,2014-07-14,47.01,,,,,
10,2014-08-05,,,,0.08,,
11,2014-09-07,,,,3.07,,
12,2014-09-21,51.68,,,,,
13,2015-01-10,51.65,,,,,
14,2015-02-11,,,,,,37.03
15,2015-03-02,,,,24.81,,
16,2015-04-14,51.64,,,,,
17,2015-04-27,,,,0.03,,
18,2015-12-22,47.0,,,,,
19,2016-01-17,66.05,,,,,
20,2016-03-04,,,,0.44,,
21,2016-04-08,51.66,,,,,
22,2016-05-06,,,,0.03,,
23,2016-05-27,,,,6.95,,
24,2016-06-15,,,,24.64,,
25,2016-07-18,51.66,,,,,
26,2016-08-14,,,,0.03,,
27,2017-01-14,86.53,,,,,
28,2017-02-19,51.63,,,,,
29,2017-03-16,,,,13.69,,
30,2017-03-30,,,,0.79,,
31,2017-05-01,50.0,,,,,
32,2017-05-15,,,,24.52,,
33,2017-06-03,51.64,,,,,
34,2017-06-23,,,,23.95,,
35,2017-06-25,86.67,,,,,
36,2017-07-05,,,,0.13,,
37,2017-08-14,51.64,,,,,
38,2017-08-24,,98.3,,,,
39,2017-09-07,54.47,,,,,
40,2017-10-09,86.66,,,,,
41,2017-10-11,,,,0.07,,
42,2017-10-30,,,,4.16,,
43,2017-12-15,51.76,,,,,
44,2017-12-23,86.69,,,,,
45,2018-01-08,52.0,,,,,
46,2018-01-31,,,,0.02,,
47,2018-02-22,,97.46,,,,
48,2018-03-06,,,,0.05,,
49,2018-03-30,86.68,,,,,
50,2018-04-02,51.64,,,,,
51,2018-04-18,,,,,,29.59
52,2018-05-11,,,,0.03,,
53,2018-05-22,88.99,,,,,
54,2018-06-04,,,,10.03,,
55,2018-06-29,51.64,,,,,
56,2018-07-22,,,,0.01,,
57,2018-07-25,86.68,,,,,
58,2018-08-07,,,,0.02,,
59,2018-09-10,,,,0.04,,
60,2018-10-08,,97.9,,,,
61,2018-11-15,,,,0.07,,
62,2018-12-03,,97.77,,,,
63,2018-12-05,51.64,,,,,
64,2018-12-23,,,54.93,,,
65,2019-01-11,86.68,,,,,
66,2019-02-22,,,,3.0,,
67,2019-03-02,51.64,,,,,
68,2019-05-04,51.64,,,,,
69,2019-05-24,53.0,,,,,
70,2019-06-12,,97.77,,,,
71,2019-07-25,51.64,,,,,
72,2019-08-06,,,,0.13,,
73,2019-11-11,53.01,,,,,
74,2019-12-05,51.65,,,,,
75,2019-12-17,,,,0.08,,
76,2020-01-07,53.0,,,,,
77,2020-01-29,53.0,,,,,
78,2020-02-17,53.0,,,,,
79,2020-03-07,51.64,,,,,
80,2020-03-18,53.0,,,,,
81,2020-04-22,53.01,,,,,
82,2020-05-30,51.64,,,,,
83,2020-06-04,53.0,,,,,
84,2020-06-13,53.0,,,,,
85,2020-06-30,,,55.06,,,
86,2020-07-20,,,,0.02,,
87,2020-08-07,53.01,,,,,
88,2020-08-18,53.0,,,,,
89,2020-08-30,,97.88,,,,
90,2020-09-03,53.0,,,,,
91,2020-10-06,52.99,,,,,
92,2020-10-18,53.05,,,,,
93,2020-10-24,53.05,,,,,
94,2020-11-05,,,54.97,,,
95,2020-11-16,51.65,,,,,
96,2020-11-21,66.06,,,,,
97,2020-11-25,53.05,,,,,
98,2020-12-06,51.64,,,,,
99,2020-12-13,,,,4.18,,
100,2020-12-19,51.4,,,,,
101,2021-01-08,,,,15.98,,
102,2021-01-20,53.05,,,,,
103,2021-01-24,,97.51,,,,
104,2021-02-04,53.05,,,,,
105,2021-02-16,53.05,,,,,
106,2021-03-04,53.05,,,,,
107,2021-03-11,53.05,,,,,
108,2021-03-14,53.05,,,,,
109,2021-03-24,53.05,,,,,
110,2021-04-07,53.05,,,,,
111,2021-04-23,51.64,,,,,
112,2021-04-29,53.05,,,,,
113,2021-05-04,53.05,,,,,
114,2021-05-09,53.05,,,,,
115,2021-05-15,53.04,,,,,
116,2021-05-26,53.05,,,,,
117,2021-06-03,51.64,,,,,
118,2021-06-06,,,,4.2,,
119,2021-06-17,,,54.99,,,
120,2021-06-30,,97.51,,,,
121,2021-08-29,51.66,,,,,
122,2021-09-14,70.0,,,,,
123,2021-09-16,51.64,,,,,
124,2021-11-11,51.64,,,,,
125,2021-11-13,53.22,,,,,
