,Launch_Date,LEO,SSO,MEO,GTO,HEO,BEO
0,2010-06-04,3000.0,,,,,
1,2010-12-08,3774.0,,,,,
2,2012-05-22,4650.0,,,,,
3,2012-10-08,5591.0,,,,,
4,2013-03-01,6492.0,,,,,
5,2013-09-29,546.5,,,,,
6,2013-12-03,,,,3138.0,,
7,2014-01-06,,,,3016.0,,
8,2014-04-18,7415.16,,,,,
9,2014-07-14,1032.0,,,,,
10,2014-08-05,,,,4535.0,,
11,2014-09-07,,,,3700.0,,
12,2014-09-21,7457.0,,,,,
13,2015-01-10,7409.765,,,,,
14,2015-02-11,,,,,,570.0
15,2015-03-02,,,,4159.0,,
16,2015-04-14,7878.3,,,,,
17,2015-04-27,,,,4700.0,,
18,2015-12-22,1892.0,,,,,
19,2016-01-17,553.0,,,,,
20,2016-03-04,,,,5271.0,,
21,2016-04-08,5607.0,,,,,
22,2016-05-06,,,,4696.0,,
23,2016-05-27,,,,3100.0,,
24,2016-06-15,,,,3917.0,,
25,2016-07-18,5522.0,,,,,
26,2016-08-14,,,,4600.0,,
27,2017-01-14,8600.0,,,,,
28,2017-02-19,5510.0,,,,,
29,2017-03-16,,,,5600.0,,
30,2017-03-30,,,,5300.0,,
31,2017-05-01,2700.0,,,,,
32,2017-05-15,,,,6070.0,,
33,2017-06-03,5515.0,,,,,
34,2017-06-23,,,,4000.0,,
35,2017-06-25,8600.0,,,,,
36,2017-07-05,,,,6761.0,,
37,2017-08-14,5763.0,,,,,
38,2017-08-24,,525.0,,,,
39,2017-09-07,5015.0,,,,,
40,2017-10-09,8600.0,,,,,
41,2017-10-11,,,,5300.0,,
42,2017-10-30,,,,3700.0,,
43,2017-12-15,5690.0,,,,,
44,2017-12-23,8600.0,,,,,
45,2018-01-08,8000.0,,,,,
46,2018-01-31,,,,4000.0,,
47,2018-02-22,,2100.0,,,,
48,2018-03-06,,,,6182.0,,
49,2018-03-30,8600.0,,,,,
50,2018-04-02,5965.0,,,,,
51,2018-04-18,,,,,,362.0
52,2018-05-11,,,,3700.0,,
53,2018-05-22,5500.0,,,,,
54,2018-06-04,,,,5384.0,,
55,2018-06-29,5806.0,,,,,
56,2018-07-22,,,,7075.0,,
57,2018-07-25,8600.0,,,,,
58,2018-08-07,,,,5800.0,,
59,2018-09-10,,,,7060.0,,
60,2018-10-08,,3000.0,,,,
61,2018-11-15,,,,5300.0,,
62,2018-12-03,,2979.77,,,,
63,2018-12-05,5457.0,,,,,
64,2018-12-23,,,4400.0,,,
65,2019-01-11,8600.0,,,,,
66,2019-02-22,,,,5382.0,,
