Mass_Range,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-1t,5.6415,2.203,0.0,0.0,0.0,0.0,2.22
1-2t,16.583658,10.097958,2.932,3.4,0.0,0.0,7.491
2-3t,15.823,29.383172,0.0,0.0,0.0,0.0,5.286
3-4t,32.686099999999996,13.992458000000001,17.0,54.709,0.0,0.0,0.0
4-5t,13.710600000000001,13.372924,21.952,100.748,0.0,0.0,0.0
5-6t,117.3972,0.0,0.0,59.907,0.0,0.0,0.0
6-7t,31.895,0.0,0.0,78.026,0.0,0.0,0.0
7-8t,52.860225,0.0,0.0,36.54,0.0,7.2,0.0
8-9t,77.4,0.0,0.0,0.0,0.0,0.0,0.0
9-10t,20.0,10.0,0.0,0.0,0.0,0.0,0.0
10-11t,347.95494,0.0,0.0,0.0,0.0,0.0,0.0
11-12t,47.15,0.0,0.0,0.0,0.0,0.0,0.0
12-13t,0.0,12.525,0.0,0.0,0.0,0.0,0.0
13-14t,68.484,234.324,0.0,0.0,0.0,0.0,0.0
14-15t,307.622,0.0,0.0,0.0,0.0,0.0,0.0
15-16t,1261.932,15.86,0.0,0.0,0.0,0.0,0.0
16-17t,2643.99,16.165,0.0,0.0,0.0,0.0,0.0
17-18t,647.2,0.0,0.0,0.0,0.0,0.0,0.0
18-19t,567.02,0.0,0.0,0.0,0.0,0.0,0.0
