Launch_Month,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military,Launch_Date,Starship,Starship (Starlink),Months_Since_Start
Jan 2010,0,0,0,0,0,0,0,2010-01-01,0.0,0.0,0
Feb 2010,0,0,0,0,0,0,0,2010-02-01,0.0,0.0,1
Mar 2010,0,0,0,0,0,0,0,2010-03-01,0.0,0.0,2
Apr 2010,0,0,0,0,0,0,0,2010-04-01,0.0,0.0,3
May 2010,0,0,0,0,0,0,0,2010-05-01,0.0,0.0,4
Jun 2010,0,0,0,1,0,0,0,2010-06-01,0.0,0.0,5
Jul 2010,0,0,0,0,0,0,0,2010-07-01,0.0,0.0,6
Aug 2010,0,0,0,0,0,0,0,2010-08-01,0.0,0.0,7
Sep 2010,0,0,0,0,0,0,0,2010-09-01,0.0,0.0,8
Oct 2010,0,0,0,0,0,0,0,2010-10-01,0.0,0.0,9
Nov 2010,0,0,0,0,0,0,0,2010-11-01,0.0,0.0,10
Dec 2010,0,0,0,1,0,0,0,2010-12-01,0.0,0.0,11
Jan 2011,0,0,0,0,0,0,0,2011-01-01,0.0,0.0,12
Feb 2011,0,0,0,0,0,0,0,2011-02-01,0.0,0.0,13
Mar 2011,0,0,0,0,0,0,0,2011-03-01,0.0,0.0,14
Apr 2011,0,0,0,0,0,0,0,2011-04-01,0.0,0.0,15
May 2011,0,0,0,0,0,0,0,2011-05-01,0.0,0.0,16
Jun 2011,0,0,0,0,0,0,0,2011-06-01,0.0,0.0,17
Jul 2011,0,0,0,0,0,0,0,2011-07-01,0.0,0.0,18
Aug 2011,0,0,0,0,0,0,0,2011-08-01,0.0,0.0,19
Sep 2011,0,0,0,0,0,0,0,2011-09-01,0.0,0.0,20
Oct 2011,0,0,0,0,0,0,0,2011-10-01,0.0,0.0,21
Nov 2011,0,0,0,0,0,0,0,2011-11-01,0.0,0.0,22
Dec 2011,0,0,0,0,0,0,0,2011-12-01,0.0,0.0,23
Jan 2012,0,0,0,0,0,0,0,2012-01-01,0.0,0.0,24
Feb 2012,0,0,0,0,0,0,0,2012-02-01,0.0,0.0,25
Mar 2012,0,0,0,0,0,0,0,2012-03-01,0.0,0.0,26
Apr 2012,0,0,0,0,0,0,0,2012-04-01,0.0,0.0,27
May 2012,0,0,0,1,0,0,0,2012-05-01,0.0,0.0,28
Jun 2012,0,0,0,0,0,0,0,2012-06-01,0.0,0.0,29
Jul 2012,0,0,0,0,0,0,0,2012-07-01,0.0,0.0,30
Aug 2012,0,0,0,0,0,0,0,2012-08-01,0.0,0.0,31
Sep 2012,0,0,0,0,0,0,0,2012-09-01,0.0,0.0,32
Oct 2012,0,0,0,1,0,0,0,2012-10-01,0.0,0.0,33
Nov 2012,0,0,0,0,0,0,0,2012-11-01,0.0,0.0,34
Dec 2012,0,0,0,0,0,0,0,2012-12-01,0.0,0.0,35
Jan 2013,0,0,0,0,0,0,0,2013-01-01,0.0,0.0,36
Feb 2013,0,0,0,0,0,0,0,2013-02-01,0.0,0.0,37
Mar 2013,0,0,0,1,0,0,0,2013-03-01,0.0,0.0,38
Apr 2013,0,0,0,0,0,0,0,2013-04-01,0.0,0.0,39
May 2013,0,0,0,0,0,0,0,2013-05-01,0.0,0.0,40
Jun 2013,0,0,0,0,0,0,0,2013-06-01,0.0,0.0,41
Jul 2013,0,0,0,0,0,0,0,2013-07-01,0.0,0.0,42
Aug 2013,0,0,0,0,0,0,0,2013-08-01,0.0,0.0,43
Sep 2013,0,0,0,1,0,0,0,2013-09-01,0.0,0.0,44
Oct 2013,0,0,0,0,0,0,0,2013-10-01,0.0,0.0,45
Nov 2013,0,0,0,0,0,0,0,2013-11-01,0.0,0.0,46
Dec 2013,0,1,0,0,0,0,0,2013-12-01,0.0,0.0,47
Jan 2014,0,1,0,0,0,0,0,2014-01-01,0.0,0.0,48
Feb 2014,0,0,0,0,0,0,0,2014-02-01,0.0,0.0,49
Mar 2014,0,0,0,0,0,0,0,2014-03-01,0.0,0.0,50
Apr 2014,0,0,0,1,0,0,0,2014-04-01,0.0,0.0,51
May 2014,0,0,0,0,0,0,0,2014-05-01,0.0,0.0,52
Jun 2014,0,0,0,0,0,0,0,2014-06-01,0.0,0.0,53
Jul 2014,0,1,0,0,0,0,0,2014-07-01,0.0,0.0,54
Aug 2014,0,1,0,0,0,0,0,2014-08-01,0.0,0.0,55
Sep 2014,0,1,0,1,0,0,0,2014-09-01,0.0,0.0,56
Oct 2014,0,0,0,0,0,0,0,2014-10-01,0.0,0.0,57
Nov 2014,0,0,0,0,0,0,0,2014-11-01,0.0,0.0,58
Dec 2014,0,0,0,0,0,0,0,2014-12-01,0.0,0.0,59
Jan 2015,0,0,0,1,0,0,0,2015-01-01,0.0,0.0,60
Feb 2015,0,0,0,1,0,0,0,2015-02-01,0.0,0.0,61
Mar 2015,0,1,0,0,0,0,0,2015-03-01,0.0,0.0,62
Apr 2015,0,1,0,1,0,0,0,2015-04-01,0.0,0.0,63
May 2015,0,0,0,0,0,0,0,2015-05-01,0.0,0.0,64
Jun 2015,0,0,0,1,0,0,0,2015-06-01,0.0,0.0,65
Jul 2015,0,0,0,0,0,0,0,2015-07-01,0.0,0.0,66
Aug 2015,0,0,0,0,0,0,0,2015-08-01,0.0,0.0,67
Sep 2015,0,0,0,0,0,0,0,2015-09-01,0.0,0.0,68
Oct 2015,0,0,0,0,0,0,0,2015-10-01,0.0,0.0,69
Nov 2015,0,0,0,0,0,0,0,2015-11-01,0.0,0.0,70
Dec 2015,0,1,0,0,0,0,0,2015-12-01,0.0,0.0,71
Jan 2016,0,0,0,1,0,0,0,2016-01-01,0.0,0.0,72
Feb 2016,0,0,0,0,0,0,0,2016-02-01,0.0,0.0,73
Mar 2016,0,1,0,0,0,0,0,2016-03-01,0.0,0.0,74
Apr 2016,0,0,0,1,0,0,0,2016-04-01,0.0,0.0,75
May 2016,0,2,0,0,0,0,0,2016-05-01,0.0,0.0,76
Jun 2016,0,1,0,0,0,0,0,2016-06-01,0.0,0.0,77
Jul 2016,0,0,0,1,0,0,0,2016-07-01,0.0,0.0,78
Aug 2016,0,1,0,0,0,0,0,2016-08-01,0.0,0.0,79
Sep 2016,0,1,0,0,0,0,0,2016-09-01,0.0,0.0,80
Oct 2016,0,0,0,0,0,0,0,2016-10-01,0.0,0.0,81
Nov 2016,0,0,0,0,0,0,0,2016-11-01,0.0,0.0,82
Dec 2016,0,0,0,0,0,0,0,2016-12-01,0.0,0.0,83
Jan 2017,0,1,0,0,0,0,0,2017-01-01,0.0,0.0,84
Feb 2017,0,0,0,1,0,0,0,2017-02-01,0.0,0.0,85
Mar 2017,0,2,0,0,0,0,0,2017-03-01,0.0,0.0,86
Apr 2017,0,0,0,0,0,0,0,2017-04-01,0.0,0.0,87
May 2017,0,1,0,0,0,1,0,2017-05-01,0.0,0.0,88
Jun 2017,0,1,0,2,0,0,0,2017-06-01,0.0,0.0,89
Jul 2017,0,1,0,0,0,0,0,2017-07-01,0.0,0.0,90
Aug 2017,0,0,0,2,0,0,0,2017-08-01,0.0,0.0,91
Sep 2017,0,0,0,0,0,1,0,2017-09-01,0.0,0.0,92
Oct 2017,0,3,0,0,0,0,0,2017-10-01,0.0,0.0,93
Nov 2017,0,0,0,0,0,0,0,2017-11-01,0.0,0.0,94
Dec 2017,0,1,0,1,0,0,0,2017-12-01,0.0,0.0,95
Jan 2018,0,1,0,0,0,1,0,2018-01-01,0.0,0.0,96
Feb 2018,0,0,0,0,0,1,0,2018-02-01,0.0,0.0,97
Mar 2018,0,2,0,0,0,0,0,2018-03-01,0.0,0.0,98
Apr 2018,0,0,0,2,0,0,0,2018-04-01,0.0,0.0,99
May 2018,0,1,0,1,0,0,0,2018-05-01,0.0,0.0,100
Jun 2018,0,1,0,1,0,0,0,2018-06-01,0.0,0.0,101
Jul 2018,0,2,0,0,0,0,0,2018-07-01,0.0,0.0,102
Aug 2018,0,1,0,0,0,0,0,2018-08-01,0.0,0.0,103
Sep 2018,0,1,0,0,0,0,0,2018-09-01,0.0,0.0,104
Oct 2018,0,0,0,1,0,0,0,2018-10-01,0.0,0.0,105
Nov 2018,0,1,0,0,0,0,0,2018-11-01,0.0,0.0,106
Dec 2018,0,1,0,1,0,1,0,2018-12-01,0.0,0.0,107
