Launch_Month,x_month,Starlink,Other,F9 Total,Unnamed: 5,Starship,Starship (Starlink),Starship Total,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Launch_Date,Months_Since_Start
Jan 2010,1,0.0,0,0,,,,0,,,,,2010-01-01,0
Feb 2010,2,0.0,0,0,,,,0,,,,,2010-02-01,1
Mar 2010,3,0.0,0,0,,,,0,,,,,2010-03-01,2
Apr 2010,4,0.0,0,0,,,,0,,,,,2010-04-01,3
May 2010,5,0.0,0,0,,,,0,,,,,2010-05-01,4
Jun 2010,6,0.0,1,1,,,,0,,,,,2010-06-01,5
Jul 2010,7,0.0,0,0,,,,0,,,,,2010-07-01,6
Aug 2010,8,0.0,0,0,,,,0,,,,,2010-08-01,7
Sep 2010,9,0.0,0,0,,,,0,,,,,2010-09-01,8
Oct 2010,10,0.0,0,0,,,,0,,,,,2010-10-01,9
Nov 2010,11,0.0,0,0,,,,0,,,,,2010-11-01,10
Dec 2010,12,0.0,1,1,,,,0,,,,,2010-12-01,11
Jan 2011,13,0.0,0,0,,,,0,,,,,2011-01-01,12
Feb 2011,14,0.0,0,0,,,,0,,,,,2011-02-01,13
Mar 2011,15,0.0,0,0,,,,0,,,,,2011-03-01,14
Apr 2011,16,0.0,0,0,,,,0,,,,,2011-04-01,15
May 2011,17,0.0,0,0,,,,0,,,,,2011-05-01,16
Jun 2011,18,0.0,0,0,,,,0,,,,,2011-06-01,17
Jul 2011,19,0.0,0,0,,,,0,,,,,2011-07-01,18
Aug 2011,20,0.0,0,0,,,,0,,,,,2011-08-01,19
Sep 2011,21,0.0,0,0,,,,0,,,,,2011-09-01,20
Oct 2011,22,0.0,0,0,,,,0,,,,,2011-10-01,21
Nov 2011,23,0.0,0,0,,,,0,,,,,2011-11-01,22
Dec 2011,24,0.0,0,0,,,,0,,,,,2011-12-01,23
Jan 2012,25,0.0,0,0,,,,0,,,,,2012-01-01,24
Feb 2012,26,0.0,0,0,,,,0,,,,,2012-02-01,25
Mar 2012,27,0.0,0,0,,,,0,,,,,2012-03-01,26
Apr 2012,28,0.0,0,0,,,,0,,,,,2012-04-01,27
May 2012,29,0.0,1,1,,,,0,,,,,2012-05-01,28
Jun 2012,30,0.0,0,0,,,,0,,,,,2012-06-01,29
Jul 2012,31,0.0,0,0,,,,0,,,,,2012-07-01,30
Aug 2012,32,0.0,0,0,,,,0,,,,,2012-08-01,31
Sep 2012,33,0.0,0,0,,,,0,,,,,2012-09-01,32
Oct 2012,34,0.0,1,1,,,,0,,,,,2012-10-01,33
Nov 2012,35,0.0,0,0,,,,0,,,,,2012-11-01,34
Dec 2012,36,0.0,0,0,,,,0,,,,,2012-12-01,35
Jan 2013,37,0.0,0,0,,,,0,,,,,2013-01-01,36
Feb 2013,38,0.0,0,0,,,,0,,,,,2013-02-01,37
Mar 2013,39,0.0,1,1,,,,0,,,,,2013-03-01,38
Apr 2013,40,0.0,0,0,,,,0,,,,,2013-04-01,39
May 2013,41,0.0,0,0,,,,0,,,,,2013-05-01,40
Jun 2013,42,0.0,0,0,,,,0,,,,,2013-06-01,41
Jul 2013,43,0.0,0,0,,,,0,,,,,2013-07-01,42
Aug 2013,44,0.0,0,0,,,,0,,,,,2013-08-01,43
Sep 2013,45,0.0,1,1,,,,0,,,,,2013-09-01,44
Oct 2013,46,0.0,0,0,,,,0,,,,,2013-10-01,45
