Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,V2_Payload_Category,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type,days_since_last
2022-001,2459586.41,2022-01-06,Falcon 9,FT5,138/B1062.4  F136,Starlink-36,Starlink Group 4-5,V1.5 4-5  (49 Ku),-,KSC,LC39A,-,-,337.0, ,    -, ,-,14.953,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,14553.0,2022-01-07,209.0,53.22,LLEO/I,Communications,B,Starlink,
2022-005,2459598.59,2022-01-19,Falcon 9,FT5,139/B1060.10 F138,Starlink-37,Starlink Group 4-6,V1.5 4-6  (49 Ku),-,KSC,LC39A,-,-,339.0, ,    -, ,-,14.953,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,14553.0,2022-01-19,209.0,53.23,LLEO/I,Communications,B,Starlink,13.0
2022-010,2459614.26,2022-02-03,Falcon 9,FT5,140/B1061.6  F141,Starlink-38,Starlink Group 4-7,V1.5 4-7  (49 Ku),-,KSC,LC39A,-,-,335.0, ,    -, ,-,14.953,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,5049.0,2022-02-04,209.0,53.22,LLEO/I,Communications,B,Starlink,15.0
2022-022,2459642.1,2022-03-03,Falcon 9,FT5,144/B1060.11 F144,Starlink-41,Starlink Group 4-9,V1.5 4-9  (47 Ku),-,KSC,LC39A,-,-,315.0, ,    -, ,-,14.359,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,13959.0,2022-03-04,304.0,53.22,LLEO/I,Communications,B,Starlink,28.0
2022-037,2459678.14,2022-04-08,Falcon 9,FT5,147/B1062.5  F148,Axiom Ax-1,Dragon C206.3,-,-,KSC,LC39A,-,-,420.0, ,    -, ,-,13.0,SPX,OS,-,C,Sat ISS D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10700.0,2022-04-10,414.0,51.64,LLEO/I,Other,B,Commercial,36.0
2022-042,2459696.83,2022-04-27,Falcon 9,FT5,150/B1067.4  F151,Dragon Crew-4,Dragon C212,-,-,KSC,LC39A,-,-,211.0, ,    -, ,-,13.055,SPX,OS,-,CX,Sat ISS D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10755.0,2022-04-27,191.0,51.65,LLEO/I,Other,B,Government,19.0
2022-049,2459705.9,2022-05-06,Falcon 9,FT5,153/B1058.12 F153,Starlink-46,Starlink Group 4-17,V1.5 4-17 (53 Ku),-,KSC,LC39A,-,-,317.0, ,    -, ,-,15.941,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,15741.0,2022-05-07,302.0,53.21,LLEO/I,Communications,B,Starlink,9.0
2022-053,2459717.96,2022-05-18,Falcon 9,FT5,156/B1052.5  F156,Starlink-49,Starlink Group 4-18,V1.5 4-18 (53 Ku),-,KSC,LC39A,-,-,316.0, ,    -, ,-,15.941,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,15741.0,2022-05-19,302.0,53.21,LLEO/I,Communications,B,Starlink,12.0
2022-062,2459748.17,2022-06-17,Falcon 9,FT5,160/B1060.13 F159,Starlink-50,Starlink Group 4-19,V1.5 4-19 (53 Ku),-,KSC,LC39A,-,-,328.0, ,    -, ,-,15.941,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,15741.0,2022-06-20,254.0,53.22,LLEO/I,Communications,B,Starlink,30.0
2022-081,2459775.53,2022-07-15,Falcon 9,FT5,158/B1067.5  F165,Dragon CRS-25,Dragon C208.3,-,-,KSC,LC39A,-,-,267.0, ,    -, ,-,17.447,SPX,OS,-,CX,Sat ISS D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10046.0,2022-07-15,207.0,51.66,LLEO/I,Other,B,Government,28.0
