Booster_ID,Launch_Date,Booster_Base,Flight_Count,Days_Between_Flights
B0003?,2010-06-04,B0003,1,
B0004?,2010-12-08,B0004,1,
B0005?,2012-05-22,B0005,1,
B0006?,2012-10-08,B0006,1,
B0007?,2013-03-01,B0007,1,
B1003?,2013-09-29,B1003,1,
B1010?,2014-09-21,B1010,1,
B1011?,2014-09-07,B1011,1,
B1012?,2015-01-10,B1012,1,
B1013?,2015-02-11,B1013,1,
B1014?,2015-03-02,B1014,1,
B1015?,2015-04-14,B1015,1,
B1016?,2015-04-27,B1016,1,
B1017?,2016-01-17,B1017,1,
B1018?,2015-06-28,B1018,1,
B1019,2015-12-22,B1019,1,
B1020?,2016-03-04,B1020,1,
B1021,2016-04-08,B1021,1,
B1021.2,2017-03-30,B1021,2,356.0
B1022?,2016-05-06,B1022,1,
B1023,2016-05-27,B1023,1,
B1024?,2016-06-15,B1024,1,
B1025,2016-07-18,B1025,1,
B1026?,2016-08-14,B1026,1,
B1028?,2016-09-01,B1028,1,
B1029,2017-01-14,B1029,1,
B1029.2,2017-06-23,B1029,2,160.0
B1030,2017-03-16,B1030,1,
B1031,2017-02-19,B1031,1,
B1031.2,2017-10-11,B1031,2,234.0
B1032,2017-05-01,B1032,1,
B1032.2,2018-01-31,B1032,2,275.0
B1034,2017-05-15,B1034,1,
B1035,2017-06-03,B1035,1,
B1035.2,2017-12-15,B1035,2,195.0
B1036,2017-06-25,B1036,1,
B1036.2,2017-12-23,B1036,2,181.0
B1037,2017-07-05,B1037,1,
B1038,2017-08-24,B1038,1,
B1038.2,2018-02-22,B1038,2,182.0
B1039,2017-08-14,B1039,1,
B1039.2,2018-04-02,B1039,2,231.0
B1040,2017-09-07,B1040,1,
B1040.2,2018-06-04,B1040,2,270.0
B1041,2017-10-09,B1041,1,
B1041.2,2018-03-30,B1041,2,172.0
B1042,2017-10-30,B1042,1,
B1043,2018-01-08,B1043,1,
B1043.2,2018-05-22,B1043,2,134.0
B1044,2018-03-06,B1044,1,
B1045,2018-04-18,B1045,1,
B1045.2,2018-06-29,B1045,2,72.0
B1046,2018-05-11,B1046,1,
B1046.2,2018-08-07,B1046,2,88.0
B1046.3,2018-12-03,B1046,3,118.0
B1047,2018-07-22,B1047,1,
B1047.2,2018-11-15,B1047,2,116.0
B1047.3,2019-08-06,B1047,3,264.0
B1048,2018-07-25,B1048,1,
B1048.2,2018-10-08,B1048,2,75.0
B1048.3,2019-02-22,B1048,3,137.0
B1048.4,2019-11-11,B1048,4,262.0
B1048.5,2020-03-18,B1048,5,128.0
B1049,2018-09-10,B1049,1,
B1049.2,2019-01-11,B1049,2,123.0
B1049.3,2019-05-24,B1049,3,133.0
B1049.4,2020-01-07,B1049,4,228.0
B1049.5,2020-06-04,B1049,5,149.0
B1049.6,2020-08-18,B1049,6,75.0
B1049.7,2020-11-25,B1049,7,99.0
B1049.8,2021-03-04,B1049,8,99.0
B1049.9,2021-05-04,B1049,9,61.0
B1049.10,2021-09-14,B1049,10,133.0
B1049.11,2022-11-23,B1049,11,435.0
B1050,2018-12-05,B1050,1,
B1051,2019-03-02,B1051,1,
B1051.2,2019-06-12,B1051,2,102.0
B1051.3,2020-01-29,B1051,3,231.0
B1051.4,2020-04-22,B1051,4,84.0
B1051.5,2020-08-07,B1051,5,107.0
B1051.6,2020-10-18,B1051,6,72.0
B1051.7,2020-12-13,B1051,7,56.0
