Booster_ID,Launch_Date,Booster_Base,Flight_Count,Days_Between_Flights
B1080.1,2023-05-21,B1080,1,
B1080.2,2023-07-01,B1080,2,41.0
B1080.3,2023-08-27,B1080,3,57.0
B1080.4,2023-10-22,B1080,4,56.0
B1080.5,2024-01-18,B1080,5,88.0
B1080.6,2024-03-21,B1080,6,63.0
B1080.7,2024-04-18,B1080,7,28.0
B1080.8,2024-05-23,B1080,8,35.0
B1080.9,2024-06-20,B1080,9,28.0
B1080.10,2024-08-04,B1080,10,45.0
B1080.11,2024-10-15,B1080,11,72.0
B1080.12,2024-11-11,B1080,12,27.0
B1080.13,2024-11-25,B1080,13,14.0
B1080.14,2024-12-23,B1080,14,28.0
B1080.15,2025-01-13,B1080,15,21.0
B1080.16,2025-02-18,B1080,16,36.0
B1080.17,2025-03-31,B1080,17,41.0
B1080.18,2025-05-02,B1080,18,32.0
B1080.19,2025-05-28,B1080,19,26.0
B1080.20,2025-06-25,B1080,20,28.0
B1080.21,2025-08-04,B1080,21,40.0
B1080.22,2025-09-25,B1080,22,52.0
B1080.23,2025-11-21,B1080,23,57.0
B1081.1,2023-08-26,B1081,1,
B1081.2,2023-11-10,B1081,2,76.0
B1081.3,2023-12-19,B1081,3,39.0
B1081.4,2024-02-08,B1081,4,51.0
B1081.5,2024-03-04,B1081,5,25.0
B1081.6,2024-04-07,B1081,6,34.0
B1081.7,2024-05-28,B1081,7,51.0
B1081.8,2024-06-29,B1081,8,32.0
B1081.9,2024-08-31,B1081,9,63.0
B1081.10,2024-09-25,B1081,10,25.0
B1081.11,2024-11-09,B1081,11,45.0
B1081.12,2024-12-05,B1081,12,26.0
B1081.13,2025-03-15,B1081,13,100.0
B1081.14,2025-05-10,B1081,14,56.0
B1081.15,2025-06-13,B1081,15,34.0
B1081.16,2025-07-23,B1081,16,40.0
B1081.17,2025-08-22,B1081,17,30.0
B1081.18,2025-09-22,B1081,18,31.0
B1081.19,2025-10-25,B1081,19,33.0
B1082.1,2024-01-03,B1082,1,
B1082.2,2024-02-15,B1082,2,43.0
B1082.3,2024-04-11,B1082,3,56.0
B1082.4,2024-05-10,B1082,4,29.0
B1082.5,2024-06-19,B1082,5,40.0
B1082.6,2024-08-04,B1082,6,46.0
B1082.7,2024-10-20,B1082,7,77.0
B1082.8,2024-11-14,B1082,8,25.0
B1082.9,2024-12-13,B1082,9,29.0
B1082.10,2025-01-21,B1082,10,39.0
B1082.11,2025-02-23,B1082,11,33.0
B1082.12,2025-04-20,B1082,12,56.0
B1082.13,2025-05-27,B1082,13,37.0
B1082.14,2025-07-19,B1082,14,53.0
B1082.15,2025-08-30,B1082,15,42.0
B1082.16,2025-09-26,B1082,16,27.0
B1082.17,2025-10-28,B1082,17,32.0
B1083.1,2024-03-04,B1083,1,
B1083.2,2024-04-10,B1083,2,37.0
B1083.3,2024-05-08,B1083,3,28.0
B1083.4,2024-09-10,B1083,4,125.0
B1083.5,2024-11-05,B1083,5,56.0
B1083.6,2024-11-30,B1083,6,25.0
B1083.7,2024-12-29,B1083,7,29.0
B1083.8,2025-01-21,B1083,8,23.0
B1083.9,2025-02-27,B1083,9,37.0
B1083.10,2025-04-13,B1083,10,45.0
B1083.11,2025-05-10,B1083,11,27.0
B1083.12,2025-06-10,B1083,12,31.0
B1083.13,2025-07-13,B1083,13,33.0
B1083.14,2025-09-03,B1083,14,52.0
B1083.15,2025-10-29,B1083,15,56.0
B1085.1,2024-08-20,B1085,1,
B1085.2,2024-09-28,B1085,2,39.0
B1085.3,2024-11-07,B1085,3,40.0
B1085.4,2024-12-17,B1085,4,40.0
B1085.5,2025-01-15,B1085,5,29.0
B1085.6,2025-04-01,B1085,6,76.0
B1085.7,2025-05-07,B1085,7,36.0
B1085.8,2025-06-07,B1085,8,31.0
B1085.9,2025-07-01,B1085,9,24.0
B1085.10,2025-08-14,B1085,10,44.0
B1085.11,2025-09-21,B1085,11,38.0
B1085.12,2025-11-19,B1085,12,59.0
B1086.2,2024-12-08,B1086,2,
B1086.3,2025-01-08,B1086,3,31.0
B1086.4,2025-02-04,B1086,4,27.0
B1086.5,2025-03-03,B1086,5,27.0
B1088.1,2024-11-30,B1088,1,
B1088.2,2025-01-14,B1088,2,45.0
B1088.3,2025-03-12,B1088,3,57.0
B1088.4,2025-03-21,B1088,4,9.0
B1088.5,2025-04-04,B1088,5,14.0
B1088.6,2025-05-13,B1088,6,39.0
B1088.7,2025-06-08,B1088,7,26.0
B1088.8,2025-06-28,B1088,8,20.0
B1088.9,2025-08-18,B1088,9,51.0
B1088.10,2025-09-19,B1088,10,32.0
B1088.11,2025-10-19,B1088,11,30.0
