Launch_Year,LEO,SSO,MEO,GTO,GEO,HEO,BEO
2000,28,8,4,31,7,7,0
2001,23,6,3,17,5,2,3
2002,25,8,1,25,2,2,2
2003,19,10,4,18,5,3,5
2004,18,8,4,15,5,3,2
2005,19,11,3,17,2,1,3
2006,20,13,4,23,1,3,2
2007,22,15,4,19,2,3,3
2008,23,14,3,23,4,2,0
2009,27,18,3,23,3,1,3
2010,26,11,4,26,3,2,2
2011,25,19,7,24,3,2,4
2012,23,17,4,29,4,1,0
2013,28,20,4,23,2,0,4
2014,27,23,10,20,8,2,2
2015,26,19,8,28,4,1,1
2016,22,22,7,30,3,0,2
2017,29,21,3,33,2,2,0
2018,29,38,14,23,3,0,7
2019,38,29,8,23,2,2,1
2020,47,36,5,17,2,2,5
2021,79,34,2,23,2,3,3
2022,92,62,5,15,5,3,4
2023,133,53,6,19,7,1,4
2024,160,63,5,22,3,2,8
2025,185,64,5,27,2,0,5
