Launch_Month,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
Jan 2000,0,2,0,0,0,2,1
Feb 2000,0,5,0,3,1,1,1
Mar 2000,0,4,0,1,1,1,0
Apr 2000,0,1,0,3,3,0,0
May 2000,0,3,0,1,0,3,1
Jun 2000,0,2,0,4,4,1,0
Jul 2000,0,3,0,2,2,3,1
Aug 2000,0,3,0,1,1,2,1
Sep 2000,0,4,0,2,0,3,3
Oct 2000,0,6,0,3,2,3,2
Nov 2000,0,4,0,2,1,1,0
Dec 2000,0,2,0,2,1,2,1
Jan 2001,0,1,0,2,2,1,0
Feb 2001,0,1,0,2,1,2,0
Mar 2001,0,2,0,1,0,0,0
Apr 2001,0,1,0,4,2,0,0
May 2001,0,2,0,1,1,2,1
Jun 2001,0,4,0,0,0,1,1
Jul 2001,0,2,0,3,2,0,0
Aug 2001,0,2,0,3,1,2,1
Sep 2001,0,3,0,1,1,1,0
Oct 2001,0,1,0,3,2,3,1
Nov 2001,0,1,0,1,1,0,0
Dec 2001,0,1,0,2,1,3,3
Jan 2002,0,0,0,1,0,1,0
Feb 2002,0,4,0,1,0,1,1
Mar 2002,0,5,0,3,2,0,0
Apr 2002,0,1,0,2,1,1,1
May 2002,0,3,0,1,1,2,1
Jun 2002,0,3,0,4,2,0,0
Jul 2002,0,2,0,0,0,2,2
Aug 2002,0,3,0,0,0,0,0
Sep 2002,0,2,0,5,3,0,0
Oct 2002,0,0,0,4,3,1,1
Nov 2002,0,2,0,2,1,0,0
Dec 2002,0,5,0,2,1,2,2
Jan 2003,0,2,0,2,0,1,0
Feb 2003,0,1,0,1,1,0,0
Mar 2003,0,0,0,0,0,3,0
Apr 2003,0,3,0,1,1,3,2
May 2003,0,1,0,2,0,1,1
Jun 2003,0,7,0,2,2,1,1
Jul 2003,0,2,0,0,0,0,0
Aug 2003,0,2,0,3,1,3,2
Sep 2003,0,1,0,2,2,1,0
Oct 2003,0,1,0,5,4,1,0
Nov 2003,0,0,0,2,1,2,2
Dec 2003,0,1,0,2,2,4,1
Jan 2004,0,1,0,1,1,0,0
Feb 2004,0,1,0,0,0,2,1
Mar 2004,0,3,0,0,0,2,1
Apr 2004,0,2,0,3,3,0,0
May 2004,0,2,0,2,1,1,1
Jun 2004,0,3,0,0,0,2,1
Jul 2004,0,2,0,1,1,1,1
Aug 2004,0,2,0,1,1,2,1
Sep 2004,0,0,0,2,0,4,4
Oct 2004,0,1,0,3,3,0,0
Nov 2004,0,1,0,2,2,2,1
Dec 2004,0,2,0,2,2,2,1
Jan 2005,0,1,0,0,0,1,1
Feb 2005,0,2,0,1,1,2,0
Mar 2005,0,2,0,1,1,0,0
Apr 2005,0,2,0,2,2,2,0
