Launch_Year,LEO,SSO,MEO,GTO,GEO,HEO,BEO
1959,5,0.0,0.0,0.0,0.0,0.0,0.0
1960,11,0.0,0.0,0.0,0.0,0.0,0.0
1961,14,4.0,2.0,0.0,0.0,0.0,0.0
1962,34,9.0,1.0,0.0,0.0,0.0,0.0
1963,28,6.0,2.0,0.0,0.0,2.0,0.0
1964,33,18.0,0.0,0.0,0.0,2.0,0.0
1965,43,15.0,0.0,0.0,0.0,3.0,0.0
1966,36,23.0,2.0,0.0,0.0,0.0,0.0
1967,50,10.0,0.0,0.0,0.0,3.0,0.0
1968,59,7.0,1.0,0.0,1.0,0.0,0.0
1969,58,6.0,0.0,0.0,1.0,2.0,0.0
1970,51,7.0,1.0,0.0,2.0,2.0,0.0
1971,56,4.0,0.0,0.0,1.0,1.0,0.0
1972,45,14.0,0.0,0.0,2.0,1.0,0.0
1973,46,7.0,0.0,0.0,2.0,2.0,1.0
1974,46,8.0,0.0,0.0,1.0,1.0,0.0
1975,57,7.0,0.0,0.0,5.0,3.0,0.0
1976,56,8.0,0.0,0.0,1.0,3.0,1.0
1977,52,5.0,0.0,0.0,6.0,3.0,1.0
1978,42,7.0,0.0,1.0,4.0,2.0,0.0
1979,53,7.0,0.0,0.0,2.0,2.0,0.0
1980,51,5.0,0.0,0.0,1.0,5.0,0.0
1981,52,4.0,0.0,0.0,5.0,6.0,0.0
1982,52,6.0,0.0,0.0,1.0,5.0,0.0
1983,57,7.0,0.0,1.0,1.0,3.0,3.0
1984,51,6.0,0.0,0.0,5.0,7.0,0.0
1985,52,1.0,0.0,0.0,2.0,7.0,0.0
1986,47,2.0,0.0,0.0,0.0,7.0,0.0
1987,53,4.0,0.0,0.0,3.0,3.0,0.0
1988,45,6.0,0.0,1.0,2.0,4.0,0.0
1989,36,2.0,0.0,1.0,5.0,2.0,1.0
1990,38,4.0,1.0,0.0,1.0,5.0,0.0
1991,25,4.0,1.0,0.0,4.0,0.0,0.0
1992,21,2.0,0.0,0.0,2.0,4.0,0.0
1993,23,2.0,0.0,0.0,1.0,3.0,0.0
1994,14,4.0,0.0,0.0,5.0,2.0,0.0
1995,10,4.0,0.0,0.0,4.0,2.0,1.0
1996,11,3.0,1.0,0.0,1.0,0.0,0.0
1997,5,5.0,1.0,1.0,5.0,3.0,0.0
1998,6,5.0,0.0,0.0,2.0,1.0,0.0
1999,4,14.0,0.0,1.0,0.0,3.0,0.0
2000,6,6.0,0.0,0.0,2.0,0.0,0.0
2001,4,5.0,0.0,0.0,2.0,0.0,1.0
2002,4,8.0,0.0,0.0,2.0,2.0,1.0
2003,3,10.0,0.0,0.0,1.0,0.0,1.0
2004,8,10.0,0.0,0.0,2.0,0.0,0.0
2005,4,6.0,0.0,0.0,1.0,0.0,0.0
2006,3,10.0,0.0,0.0,2.0,1.0,0.0
2007,4,8.0,0.0,0.0,1.0,1.0,0.0
2008,2,19.0,0.0,0.0,2.0,1.0,1.0
2009,5,17.0,0.0,2.0,1.0,0.0,3.0
2010,8,8.0,0.0,0.0,2.0,1.0,0.0
2011,2,20.0,0.0,0.0,2.0,0.0,1.0
2012,7,12.0,0.0,0.0,3.0,0.0,0.0
2013,5,19.0,0.0,0.0,2.0,0.0,1.0
2014,61,43.0,0.0,0.0,2.0,0.0,0.0
2015,50,20.0,0.0,1.0,3.0,1.0,0.0
2016,24,44.0,0.0,0.0,4.0,0.0,0.0
2017,17,170.0,0.0,0.0,2.0,1.0,0.0
2018,10,102.0,0.0,0.0,4.0,0.0,1.0
2019,28,68.0,0.0,0.0,2.0,1.0,1.0
2020,24,83.0,0.0,0.0,3.0,1.0,0.0
2021,44,125.0,0.0,1.0,3.0,2.0,1.0
2022,39,162.0,1.0,0.0,4.0,1.0,0.0
2023,37,259.0,0.0,0.0,4.0,1.0,2.0
2024,137,150.0,0.0,0.0,3.0,0.0,0.0
2025,97,164.0,2.0,0.0,4.0,1.0,0.0
