Launch_Year,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
2000,0,48,0,36,26,1,1
2001,0,26,0,31,19,2,2
2002,0,30,0,33,20,2,2
2003,0,28,0,34,22,1,1
2004,0,25,0,26,23,4,3
2005,0,24,0,32,23,0,0
2006,0,36,0,28,20,2,2
2007,0,30,0,35,25,3,2
2008,0,32,0,34,24,3,3
2009,0,41,0,35,23,2,2
2010,0,29,0,42,31,3,3
2011,0,30,0,50,40,4,2
2012,0,31,0,45,33,2,2
2013,0,33,0,45,33,3,2
2014,0,37,0,49,37,6,6
2015,0,32,0,53,38,2,2
2016,0,32,0,54,36,0,0
2017,0,36,1,46,26,8,6
2018,0,38,2,72,50,4,3
2019,2,31,7,65,45,5,3
2020,14,29,5,67,42,4,4
2021,17,41,7,69,49,19,15
2022,34,49,11,90,63,13,11
2023,63,65,20,85,57,10,9
2024,89,67,19,103,64,4,2
2025,48,31,9,41,26,5,4
