Launch_Year,LEO,SSO,MEO,GTO,GEO,HEO,BEO
1957,2,0,1,0,0,0,0
1958,9,0,12,0,0,1,6
1959,13,0,4,0,0,1,7
1960,30,1,0,0,0,0,7
1961,41,1,2,0,0,1,5
1962,57,6,5,0,0,2,11
1963,51,7,4,2,0,1,5
1964,67,11,3,1,0,8,10
1965,91,10,3,1,1,3,16
1966,89,12,8,2,2,4,14
1967,99,9,2,4,2,6,17
1968,99,6,2,3,3,4,12
1969,90,4,2,5,2,3,19
1970,95,6,2,6,2,6,7
1971,105,6,0,4,3,5,10
1972,77,12,1,3,2,8,10
1973,85,6,1,3,2,10,10
1974,82,7,2,7,4,8,3
1975,93,6,1,8,5,13,6
1976,93,8,1,10,4,12,3
1977,92,5,2,14,4,10,3
1978,79,7,5,12,8,11,6
1979,82,7,0,6,8,7,0
1980,78,4,2,7,5,12,1
1981,85,5,1,11,6,16,2
1982,93,5,1,9,10,11,0
1983,87,6,3,11,6,11,5
1984,85,5,4,11,11,12,2
1985,90,1,3,7,6,16,3
1986,80,3,1,6,6,14,0
1987,87,4,2,6,10,5,0
1988,80,5,3,11,9,11,2
1989,66,1,8,10,10,6,1
1990,75,4,7,13,9,12,1
1991,58,4,2,15,7,5,0
1992,54,3,8,16,6,8,2
1993,49,4,7,12,5,8,0
1994,47,4,5,20,13,4,1
1995,37,6,3,24,5,3,2
1996,30,6,4,23,6,4,4
1997,41,5,6,29,3,3,2
1998,41,5,1,25,3,4,3
1999,30,15,1,21,6,2,3
2000,28,8,4,31,7,7,0
2001,23,6,3,17,5,2,3
2002,25,8,1,25,2,2,2
2003,19,10,4,18,5,3,5
2004,18,8,4,15,5,3,2
2005,19,11,3,17,2,1,3
2006,20,13,4,23,1,3,2
2007,22,15,4,19,2,3,3
2008,23,14,3,23,4,2,0
2009,27,18,3,23,3,1,3
2010,26,11,4,26,3,2,2
2011,25,19,7,24,3,2,4
2012,23,17,4,29,4,1,0
2013,28,20,4,23,2,0,4
2014,27,23,10,20,8,2,2
2015,26,19,8,28,4,1,1
2016,22,22,7,30,3,0,2
2017,29,21,3,33,2,2,0
2018,29,38,14,23,3,0,7
2019,38,29,8,23,2,2,1
2020,47,36,5,17,2,2,5
2021,79,34,2,23,2,3,3
2022,92,62,5,15,5,3,4
2023,133,53,6,19,7,1,4
2024,159,64,5,22,3,2,8
2025,81,21,2,14,0,0,3
