Launch_Year,Academic,Commercial,Government,Military
2003,1.0,0.0,2.0,0.0
2008,2.0,2.0,0.0,0.0
2014,3.0,0.0,0.0,1.0
2016,1.0,1.0,0.0,1.0
2017,1.0,0.0,0.0,0.0
2020,1.0,5.0,0.0,0.0
2022,2.0,7.0,0.0,0.0
2023,10.0,8.0,0.0,0.0
2024,3.0,1.0,0.0,0.0
1972,0.0,1.0,0.0,0.0
1973,0.0,1.0,0.0,0.0
1975,0.0,1.0,0.0,0.0
1978,0.0,1.0,0.0,0.0
1982,0.0,2.0,0.0,0.0
1983,0.0,1.0,0.0,0.0
1984,0.0,1.0,0.0,0.0
1985,0.0,1.0,0.0,0.0
1991,0.0,2.0,0.0,0.0
1996,0.0,1.0,0.0,0.0
1999,0.0,1.0,0.0,0.0
2000,0.0,1.0,0.0,0.0
2002,0.0,1.0,0.0,0.0
2004,0.0,1.0,0.0,0.0
2005,0.0,1.0,0.0,0.0
2007,0.0,1.0,1.0,0.0
2009,0.0,2.0,0.0,0.0
2011,0.0,2.0,0.0,0.0
2012,0.0,2.0,0.0,0.0
2013,0.0,1.0,2.0,1.0
2015,0.0,2.0,0.0,0.0
2018,0.0,5.0,0.0,0.0
2021,0.0,11.0,0.0,0.0
2025,0.0,3.0,0.0,0.0
1962,0.0,0.0,1.0,0.0
1965,0.0,0.0,1.0,0.0
1969,0.0,0.0,1.0,0.0
1971,0.0,0.0,1.0,0.0
1976,0.0,0.0,1.0,0.0
1992,0.0,0.0,1.0,0.0
1995,0.0,0.0,1.0,0.0
2019,0.0,0.0,3.0,0.0
