Launch_Year,Observation,Communications,Science,Tech Demo,Other
1959,5.0,0.0,3,2,5.0
1960,11.0,4.0,1,1,4.0
1961,20.0,5.0,5,1,12.0
1962,44.0,5.0,10,4,18.0
1963,38.0,7.0,10,10,10.0
1964,53.0,12.0,19,4,17.0
1965,61.0,35.0,19,16,33.0
1966,61.0,16.0,19,14,27.0
1967,63.0,27.0,20,8,37.0
1968,68.0,17.0,22,7,32.0
1969,67.0,10.0,16,9,40.0
1970,63.0,24.0,14,5,24.0
1971,62.0,29.0,25,4,38.0
1972,62.0,32.0,14,5,20.0
1973,58.0,42.0,7,6,26.0
1974,56.0,37.0,10,8,20.0
1975,72.0,49.0,11,9,20.0
1976,69.0,59.0,4,5,66.0
1977,67.0,35.0,8,8,64.0
1978,56.0,70.0,9,4,33.0
1979,64.0,41.0,4,2,38.0
1980,62.0,49.0,1,3,62.0
1981,67.0,61.0,7,3,42.0
1982,64.0,56.0,1,4,87.0
1983,72.0,58.0,4,3,94.0
1984,69.0,66.0,8,3,47.0
1985,62.0,70.0,7,5,46.0
1986,56.0,58.0,7,6,33.0
1987,63.0,52.0,3,4,15.0
1988,58.0,59.0,3,5,77.0
1989,47.0,60.0,8,2,62.0
1990,49.0,81.0,7,8,71.0
1991,34.0,74.0,7,3,15.0
1992,29.0,66.0,13,4,16.0
1993,29.0,58.0,1,3,16.0
1994,25.0,56.0,7,10,23.0
1995,21.0,43.0,7,2,40.0
1996,16.0,47.0,8,8,17.0
1997,20.0,99.0,7,6,15.0
1998,14.0,116.0,3,5,16.0
1999,22.0,79.0,7,1,10.0
2000,14.0,55.0,15,16,14.0
2001,12.0,33.0,5,4,21.0
2002,17.0,42.0,5,7,14.0
2003,15.0,34.0,4,9,14.0
2004,20.0,33.0,2,4,8.0
2005,11.0,32.0,3,5,12.0
2006,16.0,33.0,13,4,12.0
2007,14.0,46.0,4,15,16.0
2008,25.0,48.0,2,7,14.0
2009,28.0,43.0,5,20,17.0
2010,19.0,50.0,2,17,17.0
2011,25.0,58.0,7,5,21.0
2012,22.0,51.0,5,33,15.0
2013,27.0,62.0,16,71,21.0
2014,106.0,68.0,6,35,20.0
2015,75.0,72.0,8,39,17.0
2016,72.0,47.0,6,32,18.0
2017,190.0,91.0,40,52,16.0
2018,117.0,127.0,9,111,29.0
2019,100.0,210.0,12,100,19.0
2020,111.0,1019.0,10,39,20.0
2021,176.0,1434.0,15,110,27.0
2022,207.0,1993.0,6,137,28.0
2023,303.0,2312.0,14,156,22.0
2024,290.0,2247.0,11,123,34.0
2025,325.0,3338.0,26,155,28.0
1958,0.0,1.0,4,1,2.0
1957,0.0,0.0,1,1,0.0
