Launch_Year,Observation,Communications,Science,Military,Tech Demo,Other
1959,5.0,,3,,2,5.0
1960,9.0,4.0,1,2.0,1,4.0
1961,16.0,5.0,5,4.0,1,12.0
1962,37.0,5.0,10,7.0,4,18.0
1963,27.0,7.0,10,11.0,10,10.0
1964,44.0,12.0,19,9.0,4,17.0
1965,49.0,35.0,19,12.0,16,33.0
1966,52.0,16.0,19,11.0,14,25.0
1967,51.0,27.0,20,21.0,8,28.0
1968,57.0,17.0,22,17.0,7,26.0
1969,51.0,10.0,16,19.0,9,37.0
1970,50.0,24.0,14,19.0,5,18.0
1971,46.0,29.0,25,23.0,4,31.0
1972,50.0,32.0,14,13.0,5,19.0
1973,46.0,42.0,7,12.0,6,26.0
1974,45.0,37.0,10,11.0,8,20.0
1975,57.0,49.0,11,15.0,9,20.0
1976,51.0,59.0,4,24.0,5,60.0
1977,48.0,35.0,8,26.0,8,57.0
1978,45.0,70.0,9,12.0,4,32.0
1979,51.0,41.0,4,13.0,2,38.0
1980,43.0,49.0,1,21.0,3,60.0
1981,48.0,61.0,7,22.0,3,39.0
1982,43.0,56.0,1,23.0,4,85.0
1983,52.0,58.0,4,20.0,3,94.0
1984,45.0,66.0,8,24.0,3,47.0
1985,39.0,70.0,7,26.0,5,43.0
1986,35.0,58.0,7,21.0,6,33.0
1987,43.0,52.0,3,20.0,4,15.0
1988,42.0,59.0,3,16.0,5,77.0
1989,38.0,60.0,8,9.0,2,62.0
1990,32.0,81.0,7,17.0,8,71.0
1991,25.0,74.0,7,9.0,3,15.0
1992,18.0,66.0,13,11.0,4,16.0
1993,19.0,58.0,1,10.0,3,16.0
1994,17.0,56.0,7,8.0,10,23.0
1995,15.0,43.0,7,6.0,2,40.0
1996,9.0,47.0,8,7.0,8,17.0
1997,14.0,99.0,7,6.0,6,15.0
1998,10.0,116.0,3,4.0,5,16.0
1999,20.0,79.0,7,2.0,1,10.0
2000,13.0,55.0,15,1.0,16,14.0
2001,10.0,33.0,5,2.0,4,21.0
2002,15.0,42.0,5,2.0,7,14.0
2003,14.0,34.0,4,1.0,9,14.0
2004,11.0,33.0,2,9.0,4,8.0
2005,11.0,32.0,3,,5,12.0
2006,13.0,33.0,13,3.0,4,12.0
2007,11.0,46.0,4,3.0,15,16.0
2008,21.0,48.0,2,4.0,7,14.0
2009,24.0,43.0,5,4.0,20,17.0
2010,13.0,50.0,2,6.0,17,17.0
2011,18.0,58.0,7,7.0,5,21.0
2012,18.0,51.0,5,4.0,33,15.0
2013,21.0,62.0,16,6.0,71,21.0
2014,96.0,68.0,6,10.0,35,20.0
2015,73.0,72.0,8,2.0,39,17.0
2016,72.0,47.0,6,,32,18.0
2017,176.0,91.0,40,14.0,52,16.0
2018,103.0,127.0,9,14.0,111,29.0
2019,88.0,210.0,12,12.0,100,19.0
2020,96.0,1019.0,10,15.0,39,20.0
2021,121.0,1434.0,15,55.0,111,27.0
2022,164.0,1993.0,6,43.0,128,28.0
2023,254.0,2312.0,14,49.0,156,22.0
2024,258.0,2247.0,11,31.0,124,34.0
2025,189.0,1361.0,3,9.0,62,14.0
1958,,1.0,4,,1,2.0
1957,,,1,,1,
