Launch_Year,Flock Dove,Flock 1,Flock 2,Flock 3,Skysat,Flock 4,Pelican,Tanager
2013,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1.0,0.0,0.0,35.0,2.0,0.0,0.0,0.0
2014,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,47.0,92.0,6.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,0.0,6.0,35.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,72.0,1.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0
2025,0.0,0.0,0.0,0.0,0.0,71.0,5.0,0.0
