Launch_Month,LEO,SSO,MEO,GTO,GEO,HEO,BEO
Jan 1957,0,0,0,0,0,0,0
Feb 1957,0,0,0,0,0,0,0
Mar 1957,0,0,0,0,0,0,0
Apr 1957,0,0,0,0,0,0,0
May 1957,0,0,0,0,0,0,0
Jun 1957,0,0,0,0,0,0,0
Jul 1957,0,0,0,0,0,0,0
Aug 1957,0,0,0,0,0,0,0
Sep 1957,0,0,0,0,0,0,0
Oct 1957,1,0,0,0,0,0,0
Nov 1957,1,0,0,0,0,0,0
Dec 1957,0,0,0,0,0,0,0
Jan 1958,0,0,0,0,0,0,0
Feb 1958,0,0,0,0,0,0,0
Mar 1958,0,0,0,0,0,0,0
Apr 1958,1,0,0,0,0,0,0
May 1958,1,0,0,0,0,0,0
Jun 1958,0,0,0,0,0,0,0
Jul 1958,0,0,0,0,0,0,0
Aug 1958,0,0,0,0,0,0,0
Sep 1958,0,0,0,0,0,0,1
Oct 1958,0,0,0,0,0,0,1
Nov 1958,0,0,0,0,0,0,0
Dec 1958,0,0,0,0,0,0,1
Jan 1959,0,0,0,0,0,0,1
Feb 1959,0,0,0,0,0,0,0
Mar 1959,0,0,0,0,0,0,0
Apr 1959,0,0,0,0,0,0,0
May 1959,0,0,0,0,0,0,0
Jun 1959,0,0,0,0,0,0,1
Jul 1959,0,0,0,0,0,0,0
Aug 1959,0,0,0,0,0,0,0
Sep 1959,0,0,0,0,0,0,1
Oct 1959,0,0,0,0,0,0,1
Nov 1959,0,0,0,0,0,0,0
Dec 1959,0,0,0,0,0,0,0
Jan 1960,0,0,0,0,0,0,0
Feb 1960,0,0,0,0,0,0,0
Mar 1960,0,0,0,0,0,0,0
Apr 1960,0,0,0,0,0,0,2
May 1960,1,0,0,0,0,0,0
Jun 1960,0,0,0,0,0,0,0
Jul 1960,1,0,0,0,0,0,0
Aug 1960,1,0,0,0,0,0,0
Sep 1960,0,0,0,0,0,0,0
Oct 1960,0,0,0,0,0,0,0
Nov 1960,0,0,0,0,0,0,0
Dec 1960,2,0,0,0,0,0,0
Jan 1961,0,0,0,0,0,0,0
Feb 1961,0,0,0,0,0,0,0
Mar 1961,2,0,0,0,0,0,0
Apr 1961,1,0,0,0,0,0,0
May 1961,0,0,0,0,0,0,0
Jun 1961,0,0,0,0,0,0,0
Jul 1961,0,0,0,0,0,0,0
Aug 1961,1,0,0,0,0,0,0
Sep 1961,0,0,0,0,0,0,0
Oct 1961,0,0,0,0,0,0,0
Nov 1961,0,0,0,0,0,0,0
Dec 1961,1,0,0,0,0,0,0
Jan 1962,0,0,0,0,0,0,0
Feb 1962,0,0,0,0,0,0,0
Mar 1962,0,0,0,0,0,0,0
Apr 1962,1,0,0,0,0,0,0
May 1962,0,0,0,0,0,0,0
Jun 1962,1,0,0,0,0,0,0
Jul 1962,1,0,0,0,0,0,0
Aug 1962,2,0,0,0,0,0,0
Sep 1962,1,0,0,0,0,0,0
Oct 1962,1,0,0,0,0,0,0
Nov 1962,0,0,0,0,0,0,0
Dec 1962,1,0,0,0,0,0,0
Jan 1963,0,0,0,0,0,0,0
Feb 1963,0,0,0,0,0,0,0
Mar 1963,1,0,0,0,0,0,0
Apr 1963,2,0,0,0,0,0,0
May 1963,1,0,0,0,0,0,0
Jun 1963,2,0,0,0,0,0,0
Jul 1963,1,0,0,0,0,0,0
Aug 1963,0,0,0,0,0,0,0
Sep 1963,0,0,0,0,0,0,0
Oct 1963,1,0,0,0,0,0,0
Nov 1963,3,0,0,0,0,0,0
Dec 1963,1,0,0,0,0,0,0
Jan 1964,0,0,0,0,0,1,0
Feb 1964,0,0,0,0,0,0,0
Mar 1964,0,0,0,0,0,0,0
Apr 1964,3,0,0,0,0,0,0
May 1964,1,0,0,0,0,0,0
Jun 1964,2,0,0,0,0,0,0
Jul 1964,2,0,0,0,0,1,0
Aug 1964,2,0,0,0,0,0,0
Sep 1964,2,0,0,0,0,0,0
Oct 1964,4,0,0,0,0,0,0
Nov 1964,0,0,0,0,0,0,0
Dec 1964,0,0,0,0,0,0,0
Jan 1965,1,0,0,0,0,0,0
Feb 1965,2,0,0,0,0,0,0
Mar 1965,3,0,0,0,0,0,0
Apr 1965,1,0,0,0,0,0,0
May 1965,2,0,0,0,0,0,0
Jun 1965,2,0,0,0,0,0,0
Jul 1965,1,0,0,0,0,0,0
Aug 1965,3,0,0,0,0,0,0
Sep 1965,2,0,0,0,0,0,0
Oct 1965,2,0,0,0,0,0,0
Nov 1965,1,0,0,0,0,0,0
Dec 1965,3,0,0,0,0,0,0
Jan 1966,2,0,0,0,0,0,0
Feb 1966,3,0,0,0,0,0,0
Mar 1966,2,0,0,0,0,0,0
Apr 1966,2,0,0,0,0,0,0
May 1966,3,0,0,0,0,0,0
Jun 1966,3,0,0,0,0,0,0
Jul 1966,3,0,0,0,0,0,0
Aug 1966,2,0,0,0,0,0,0
Sep 1966,1,0,0,0,0,0,0
Oct 1966,2,0,0,0,0,0,0
Nov 1966,3,0,0,0,0,0,0
Dec 1966,3,0,0,0,0,0,0
