Launch_Year,LEO,SSO,MEO,GTO,GEO,HEO,BEO
1957,2,0,0,0,0,0,0
1958,2,0,0,0,0,0,3
1959,0,0,0,0,0,0,4
1960,5,0,0,0,0,0,2
1961,5,0,0,0,0,0,0
1962,8,0,0,0,0,0,0
1963,12,0,0,0,0,0,0
1964,16,0,0,0,0,2,0
1965,23,0,0,0,0,0,0
1966,29,0,0,0,0,0,0
1967,32,0,0,0,0,0,0
1968,36,0,0,0,0,0,0
1969,40,0,0,0,0,0,0
1970,37,0,0,0,0,0,0
1971,41,0,0,0,0,0,0
1972,37,0,0,0,0,0,0
1973,44,0,0,0,0,0,0
1974,45,0,0,0,0,0,0
1975,46,0,0,0,0,1,0
1976,44,0,0,0,0,0,0
1977,45,1,0,0,0,0,0
1978,50,0,0,0,0,0,0
1979,54,1,0,0,0,0,0
1980,52,0,0,0,0,0,0
1981,45,1,0,0,0,2,0
1982,50,0,0,0,0,0,0
1983,46,1,0,0,0,0,0
1984,44,0,0,0,0,0,0
1985,41,0,0,0,0,0,0
1986,37,0,0,0,0,0,0
1987,44,0,0,0,0,0,0
1988,46,1,0,0,0,0,0
1989,38,0,0,0,0,0,0
1990,32,0,0,0,0,0,0
1991,24,1,0,0,0,0,0
1992,24,0,0,0,0,0,0
1993,17,0,0,0,0,0,0
1994,15,0,0,0,0,0,0
1995,12,0,0,0,0,0,0
1996,9,0,0,0,0,0,0
1997,10,0,0,0,0,0,0
1998,8,0,0,0,0,0,0
1999,12,0,0,0,0,0,0
2000,10,0,0,0,0,3,0
2001,9,0,0,0,0,0,0
2002,7,0,0,0,0,0,0
2003,6,0,0,1,0,0,1
2004,8,0,0,0,0,0,0
2005,8,0,1,1,0,0,1
2006,8,2,0,0,0,1,0
2007,10,1,0,0,0,0,0
2008,7,1,1,0,0,0,0
2009,11,1,0,0,0,1,0
2010,11,0,0,0,0,1,0
2011,11,2,4,0,0,2,0
2012,9,3,1,0,0,1,0
2013,11,2,2,0,0,0,1
2014,12,3,6,0,0,1,0
2015,10,3,3,0,0,1,0
2016,7,4,3,0,0,0,0
2017,8,3,1,2,0,1,0
2018,8,5,3,0,0,0,0
2019,8,5,3,0,0,2,0
2020,8,3,2,0,0,2,0
2021,17,2,1,0,0,2,0
2022,10,4,3,0,0,2,0
2023,8,6,1,0,0,1,1
2024,7,8,0,0,0,0,0
2025,4,0,1,0,0,0,0
