,Launch_Date,LC40,LC39A,SLC4E
0,2019-05-24,442.0,,
1,2019-11-11,300.0,,
2,2020-01-07,297.0,,
3,2020-01-29,300.0,,
4,2020-02-17,380.0,,
5,2020-03-18,,338.0,
6,2020-04-22,,354.0,
7,2020-06-04,355.0,,
8,2020-06-13,362.0,,
9,2020-08-07,,422.0,
10,2020-08-18,353.0,,
11,2020-09-03,,290.0,
12,2020-10-06,,276.0,
13,2020-10-18,,269.0,
14,2020-10-24,270.0,,
15,2020-11-25,347.0,,
16,2021-01-20,,281.0,
17,2021-02-04,301.0,,
18,2021-02-16,286.0,,
19,2021-03-04,,280.0,
20,2021-03-11,278.0,,
21,2021-03-14,,284.0,
22,2021-03-24,294.0,,
23,2021-04-07,277.0,,
24,2021-04-29,282.0,,
25,2021-05-04,,276.0,
26,2021-05-09,279.0,,
27,2021-05-15,,583.0,
28,2021-05-26,281.0,,
29,2021-09-14,,,334.0
30,2021-11-13,330.0,,
31,2021-12-02,440.0,,
32,2021-12-18,,,339.0
33,2022-01-06,,337.0,
34,2022-01-19,,339.0,
35,2022-02-03,,335.0,
36,2022-02-21,335.0,,
37,2022-02-25,,,313.0
38,2022-03-03,,315.0,
39,2022-03-09,311.0,,
40,2022-03-19,315.0,,
41,2022-04-21,324.0,,
42,2022-04-29,316.0,,
43,2022-05-06,,317.0,
44,2022-05-13,,,314.0
45,2022-05-14,317.0,,
46,2022-05-18,,316.0,
47,2022-06-17,,328.0,
48,2022-07-07,327.0,,
49,2022-07-11,,,319.0
50,2022-07-17,337.0,,
51,2022-07-22,,,319.0
52,2022-07-24,,335.0,
53,2022-08-10,,334.0,
54,2022-08-12,,,319.0
55,2022-08-19,337.0,,
56,2022-08-28,335.0,,
57,2022-08-31,,,319.0
58,2022-09-05,314.0,,
59,2022-09-11,,334.0,
60,2022-09-19,336.0,,
61,2022-09-24,337.0,,
62,2022-10-05,,,310.0
63,2022-10-20,334.0,,
64,2022-10-28,,,337.0
65,2022-12-17,,336.0,
66,2022-12-28,336.0,,
67,2023-01-19,,,323.0
68,2023-01-26,336.0,,
69,2023-01-31,,,337.0
70,2023-02-02,,342.0,
71,2023-02-12,339.0,,
72,2023-02-17,,,317.0
73,2023-02-27,372.0,,
74,2023-03-03,,,328.0
75,2023-03-17,,,332.0
76,2023-03-24,339.0,,
77,2023-03-29,335.0,,
78,2023-04-19,352.0,,
79,2023-04-27,,,349.0
80,2023-05-04,339.0,,
81,2023-05-10,,,332.0
82,2023-05-14,337.0,,
83,2023-05-19,321.0,,
84,2023-05-31,,,331.0
85,2023-06-04,322.0,,
86,2023-06-12,338.0,,
87,2023-06-22,,,334.0
88,2023-06-23,339.0,,
89,2023-07-07,,,334.0
90,2023-07-10,321.0,,
91,2023-07-16,338.0,,
92,2023-07-20,,,312.0
93,2023-07-24,302.0,,
94,2023-07-28,321.0,,
95,2023-08-07,292.0,,
96,2023-08-08,,,292.0
97,2023-08-11,293.0,,
98,2023-08-17,292.0,,
99,2023-08-22,,,294.0
100,2023-08-27,291.0,,
101,2023-09-01,292.0,,
102,2023-09-04,,292.0,
103,2023-09-09,292.0,,
104,2023-09-12,,,294.0
105,2023-09-16,292.0,,
106,2023-09-20,288.0,,
107,2023-09-24,293.0,,
108,2023-09-25,,,293.0
109,2023-09-30,293.0,,
110,2023-10-05,291.0,,
111,2023-10-09,,,295.0
112,2023-10-13,292.0,,
113,2023-10-18,292.0,,
114,2023-10-21,,,295.0
115,2023-10-22,290.0,,
116,2023-10-29,,,294.0
117,2023-10-30,292.0,,
118,2023-11-04,292.0,,
119,2023-11-08,292.0,,
120,2023-11-18,291.0,,
121,2023-11-20,,,292.0
122,2023-11-22,292.0,,
123,2023-11-28,292.0,,
124,2023-12-03,292.0,,
125,2023-12-07,291.0,,
126,2023-12-08,,,295.0
127,2023-12-19,292.0,,
128,2023-12-23,292.0,,
129,2023-12-29,287.0,,
130,2024-01-03,,,344.0
131,2024-01-07,289.0,,
132,2024-01-14,,,293.0
133,2024-01-15,291.0,,
134,2024-01-24,,,296.0
135,2024-01-29,,291.0,294.0
136,2024-02-10,,,295.0
137,2024-02-15,,,294.0
138,2024-02-23,,,294.0
139,2024-02-25,277.0,,
140,2024-02-29,292.0,,
141,2024-03-04,292.0,,
142,2024-03-10,292.0,,
143,2024-03-11,,,280.0
144,2024-03-16,,288.0,
145,2024-03-19,,,314.0
146,2024-03-24,,292.0,
147,2024-03-25,293.0,,
148,2024-03-31,292.0,,
149,2024-04-02,,,293.0
150,2024-04-05,292.0,,
151,2024-04-07,,,344.0
152,2024-04-10,292.0,,
153,2024-04-13,291.0,,
154,2024-04-17,,292.0,
155,2024-04-18,292.0,,
156,2024-04-23,292.0,,
157,2024-04-28,293.0,,
158,2024-05-03,292.0,,
159,2024-05-06,292.0,,
160,2024-05-08,,320.0,
161,2024-05-10,,,296.0
162,2024-05-13,293.0,,
163,2024-05-14,,,296.0
164,2024-05-18,292.0,,
165,2024-05-23,292.0,,
166,2024-05-24,,292.0,
167,2024-05-28,283.0,,
168,2024-06-01,281.0,,
169,2024-06-05,286.0,,
170,2024-06-08,279.0,,289.0
171,2024-06-19,,,296.0
172,2024-06-23,278.0,,
173,2024-06-24,,,295.0
174,2024-06-27,275.0,,
175,2024-07-03,297.0,,
176,2024-07-12,,,255.0
177,2024-07-27,,276.0,
178,2024-07-28,281.0,,277.0
179,2024-08-02,,285.0,
180,2024-08-04,,,279.0
181,2024-08-10,297.0,,
182,2024-08-12,,278.0,
183,2024-08-20,298.0,,
184,2024-08-28,296.0,,
185,2024-08-31,300.0,,292.0
186,2024-09-05,302.0,,
187,2024-09-13,,,298.0
188,2024-09-20,,,295.0
189,2024-09-25,,,299.0
190,2024-10-15,291.0,,280.0
191,2024-10-18,295.0,,
192,2024-10-23,291.0,,
193,2024-10-26,302.0,,
194,2024-10-30,279.0,,295.0
195,2024-11-07,291.0,,
196,2024-11-09,,,295.0
197,2024-11-11,289.0,,
198,2024-11-14,285.0,,290.0
199,2024-11-18,,,290.0
200,2024-11-21,294.0,,
201,2024-11-24,,,290.0
202,2024-11-25,331.0,,
203,2024-11-27,,291.0,
204,2024-11-30,290.0,,
205,2024-12-04,284.0,,
206,2024-12-05,,,283.0
207,2024-12-08,293.0,,
208,2024-12-13,,,280.0
209,2024-12-23,,288.0,
210,2024-12-29,,,280.0
211,2024-12-31,,277.0,
212,2025-01-06,279.0,,
213,2025-01-08,,282.0,
214,2025-01-10,291.0,,
215,2025-01-13,291.0,,
216,2025-01-21,,313.0,274.0
217,2025-01-24,,,281.0
218,2025-01-27,292.0,,
219,2025-02-01,,,293.0
220,2025-02-04,292.0,,
221,2025-02-08,291.0,,
222,2025-02-11,292.0,,288.0
223,2025-02-15,291.0,,
224,2025-02-18,284.0,,
225,2025-02-21,279.0,,
226,2025-02-23,,,280.0
227,2025-02-27,292.0,,
228,2025-03-03,292.0,,
229,2025-03-13,289.0,,
230,2025-03-15,292.0,,
231,2025-03-18,292.0,,
232,2025-03-26,,,290.0
233,2025-03-31,285.0,,
234,2025-04-04,,,284.0
235,2025-04-06,290.0,,
236,2025-04-07,,,288.0
237,2025-04-13,,292.0,
238,2025-04-14,286.0,,
239,2025-04-25,272.0,,
240,2025-04-28,292.0,,281.0
241,2025-04-29,,293.0,
242,2025-05-02,283.0,,
243,2025-05-04,,278.0,
244,2025-05-07,283.0,,
245,2025-05-10,278.0,,280.0
246,2025-05-13,,278.0,279.0
247,2025-05-14,278.0,,
