,Launch_Date,LC40,LC39A,SLC4E
0,2019-05-24,53.0,,
1,2019-11-11,53.01,,
2,2020-01-07,53.0,,
3,2020-01-29,53.0,,
4,2020-02-17,53.0,,
5,2020-03-18,,53.0,
6,2020-04-22,,53.01,
7,2020-06-04,53.0,,
8,2020-06-13,53.0,,
9,2020-08-07,,53.01,
10,2020-08-18,53.0,,
11,2020-09-03,,53.0,
12,2020-10-06,,52.99,
13,2020-10-18,,53.05,
14,2020-10-24,53.05,,
15,2020-11-25,53.05,,
16,2021-01-20,,53.05,
17,2021-02-04,53.05,,
18,2021-02-16,53.05,,
19,2021-03-04,,53.05,
20,2021-03-11,53.05,,
21,2021-03-14,,53.05,
22,2021-03-24,53.05,,
23,2021-04-07,53.05,,
24,2021-04-29,53.05,,
25,2021-05-04,,53.05,
26,2021-05-09,53.05,,
27,2021-05-15,,53.04,
28,2021-05-26,53.05,,
29,2021-09-14,,,70.0
30,2021-11-13,53.22,,
31,2021-12-02,53.22,,
32,2021-12-18,,,53.22
33,2022-01-06,,53.22,
34,2022-01-19,,53.23,
35,2022-02-03,,53.22,
36,2022-02-21,53.22,,
37,2022-02-25,,,53.22
38,2022-03-03,,53.22,
39,2022-03-09,53.22,,
40,2022-03-19,53.22,,
41,2022-04-21,53.22,,
42,2022-04-29,53.21,,
43,2022-05-06,,53.21,
44,2022-05-13,,,53.22
45,2022-05-14,53.22,,
46,2022-05-18,,53.21,
47,2022-06-17,,53.22,
48,2022-07-07,53.22,,
49,2022-07-11,,,97.67
50,2022-07-17,53.22,,
51,2022-07-22,,,97.67
52,2022-07-24,,53.22,
53,2022-08-10,,53.22,
54,2022-08-12,,,97.67
55,2022-08-19,53.22,,
56,2022-08-28,53.22,,
57,2022-08-31,,,97.66
58,2022-09-05,53.21,,
59,2022-09-11,,53.2,
60,2022-09-19,53.22,,
61,2022-09-24,53.23,,
62,2022-10-05,,,53.22
63,2022-10-20,53.22,,
64,2022-10-28,,,53.22
65,2022-12-17,,53.22,
66,2022-12-28,43.0,,
67,2023-01-19,,,70.0
68,2023-01-26,43.0,,
69,2023-01-31,,,70.0
70,2023-02-02,,42.98,
71,2023-02-12,43.0,,
72,2023-02-17,,,70.0
73,2023-02-27,43.01,,
74,2023-03-03,,,70.0
75,2023-03-17,,,70.0
76,2023-03-24,43.0,,
77,2023-03-29,43.0,,
78,2023-04-19,43.0,,
79,2023-04-27,,,97.67
80,2023-05-04,43.01,,
81,2023-05-10,,,70.0
82,2023-05-14,43.01,,
83,2023-05-19,43.0,,
84,2023-05-31,,,70.01
85,2023-06-04,43.01,,
86,2023-06-12,43.0,,
87,2023-06-22,,,43.0
88,2023-06-23,43.0,,
89,2023-07-07,,,43.0
90,2023-07-10,43.01,,
91,2023-07-16,43.01,,
92,2023-07-20,,,43.0
93,2023-07-24,43.0,,
94,2023-07-28,43.01,,
95,2023-08-07,43.0,,
96,2023-08-08,,,43.0
97,2023-08-11,43.0,,
98,2023-08-17,43.0,,
99,2023-08-22,,,53.05
100,2023-08-27,43.0,,
101,2023-09-01,43.0,,
102,2023-09-04,,43.0,
103,2023-09-09,43.0,,
104,2023-09-12,,,53.06
105,2023-09-16,43.0,,
106,2023-09-20,43.0,,
107,2023-09-24,43.0,,
108,2023-09-25,,,53.06
109,2023-09-30,43.0,,
110,2023-10-05,43.0,,
111,2023-10-09,,,53.06
112,2023-10-13,43.0,,
113,2023-10-18,43.0,,
114,2023-10-21,,,53.06
115,2023-10-22,43.01,,
116,2023-10-29,,,53.06
117,2023-10-30,43.01,,
118,2023-11-04,43.01,,
119,2023-11-08,43.01,,
120,2023-11-18,43.01,,
121,2023-11-20,,,53.06
122,2023-11-22,43.01,,
123,2023-11-28,43.01,,
124,2023-12-03,43.01,,
125,2023-12-07,43.01,,
126,2023-12-08,,,53.17
127,2023-12-19,43.01,,
128,2023-12-23,43.01,,
129,2023-12-29,43.0,,
130,2024-01-03,,,53.17
131,2024-01-07,43.01,,
132,2024-01-14,,,53.17
133,2024-01-15,43.01,,
134,2024-01-24,,,53.17
135,2024-01-29,,43.01,53.17
136,2024-02-10,,,53.17
137,2024-02-15,,,53.17
138,2024-02-23,,,53.17
139,2024-02-25,43.01,,
140,2024-02-29,43.01,,
141,2024-03-04,43.01,,
142,2024-03-10,43.01,,
143,2024-03-11,,,53.17
144,2024-03-16,,43.01,
145,2024-03-19,,,53.17
146,2024-03-24,,43.01,
147,2024-03-25,43.01,,
148,2024-03-31,43.01,,
149,2024-04-02,,,53.17
150,2024-04-05,43.01,,
151,2024-04-07,,,53.18
152,2024-04-10,43.01,,
153,2024-04-13,43.01,,
154,2024-04-17,,43.01,
155,2024-04-18,43.01,,
156,2024-04-23,43.01,,
157,2024-04-28,43.01,,
158,2024-05-03,43.01,,
159,2024-05-06,43.01,,
160,2024-05-08,,43.01,
161,2024-05-10,,,53.17
162,2024-05-13,43.01,,
163,2024-05-14,,,53.17
164,2024-05-18,43.01,,
165,2024-05-23,43.01,,
166,2024-05-24,,43.01,
167,2024-05-28,43.01,,
168,2024-06-01,43.01,,
169,2024-06-05,53.15,,
170,2024-06-08,53.15,,53.17
171,2024-06-19,,,53.17
172,2024-06-23,53.15,,
173,2024-06-24,,,53.17
174,2024-06-27,53.16,,
175,2024-07-03,53.16,,
176,2024-07-12,,,53.17
177,2024-07-27,,53.16,
178,2024-07-28,53.16,,53.17
179,2024-08-02,,53.16,
180,2024-08-04,,,53.17
181,2024-08-10,53.16,,
182,2024-08-12,,53.16,
183,2024-08-20,53.16,,
184,2024-08-28,53.16,,
185,2024-08-31,53.16,,53.17
186,2024-09-05,53.16,,
187,2024-09-13,,,53.17
188,2024-09-20,,,53.17
189,2024-09-25,,,53.17
190,2024-10-15,53.16,,53.17
191,2024-10-18,53.16,,
192,2024-10-23,43.01,,
193,2024-10-26,53.16,,
194,2024-10-30,53.16,,53.17
195,2024-11-07,43.01,,
196,2024-11-09,,,53.17
197,2024-11-11,43.01,,
198,2024-11-14,43.01,,53.17
199,2024-11-18,,,53.17
200,2024-11-21,43.01,,
201,2024-11-24,,,53.17
202,2024-11-25,43.01,,
203,2024-11-27,,43.01,
204,2024-11-30,43.01,,
205,2024-12-04,43.01,,
206,2024-12-05,,,53.17
207,2024-12-08,43.01,,
208,2024-12-13,,,53.17
209,2024-12-23,,43.01,
210,2024-12-29,,,53.17
211,2024-12-31,,43.0,
212,2025-01-06,43.01,,
213,2025-01-08,,43.01,
214,2025-01-10,43.01,,
215,2025-01-13,43.01,,
216,2025-01-21,,43.01,53.16
217,2025-01-24,,,53.15
218,2025-01-27,43.0,,
219,2025-02-01,,,53.15
220,2025-02-04,43.0,,
221,2025-02-08,43.01,,
222,2025-02-11,43.01,,53.15
223,2025-02-15,43.01,,
224,2025-02-18,53.17,,
225,2025-02-21,43.0,,
226,2025-02-23,,,70.0
227,2025-02-27,43.01,,
228,2025-03-03,43.01,,
229,2025-03-13,43.01,,
230,2025-03-15,43.0,,
231,2025-03-18,43.01,,
232,2025-03-26,,,53.16
233,2025-03-31,43.0,,
234,2025-04-04,,,53.16
235,2025-04-06,43.0,,
236,2025-04-07,,,53.16
237,2025-04-13,,43.01,
238,2025-04-14,43.0,,
239,2025-04-25,43.0,,
240,2025-04-28,43.01,,53.16
241,2025-04-29,,43.01,
242,2025-05-02,43.0,,
243,2025-05-04,,43.0,
244,2025-05-07,43.0,,
245,2025-05-10,43.0,,70.0
246,2025-05-13,,43.0,70.0
247,2025-05-14,43.0,,
248,2025-05-16,,,69.99
249,2025-05-21,43.01,,
250,2025-05-23,,,53.16
251,2025-05-24,43.01,,
252,2025-05-27,,,97.6
253,2025-05-28,,53.16,
254,2025-05-31,,,53.16
255,2025-06-03,43.01,,
256,2025-06-04,,,53.16
257,2025-06-08,,,70.0
258,2025-06-10,43.0,,
259,2025-06-13,43.0,,70.0
260,2025-06-17,,,70.0
261,2025-06-18,53.16,,
262,2025-06-23,53.16,,
263,2025-06-25,53.16,,
264,2025-06-28,53.16,,70.0
265,2025-07-02,53.16,,
266,2025-07-08,53.16,,
267,2025-07-16,,,70.0
268,2025-07-19,,,97.6
269,2025-07-26,53.16,,
270,2025-07-27,,,97.6
271,2025-07-30,53.16,,
272,2025-07-31,,,97.61
273,2025-08-04,53.16,,
274,2025-08-14,53.16,,97.6
275,2025-08-18,,,97.6
276,2025-08-22,,,97.6
277,2025-08-27,53.16,,
278,2025-08-28,,53.16,
279,2025-08-30,,,97.6
280,2025-08-31,53.16,,
281,2025-09-03,53.16,,97.6
282,2025-09-05,,53.16,
283,2025-09-06,,,97.6
284,2025-09-13,,,97.6
285,2025-09-18,53.16,,
286,2025-09-19,,,97.6
287,2025-09-21,53.16,,
288,2025-09-25,53.16,,
289,2025-09-26,,,97.6
290,2025-09-29,,,53.16
291,2025-10-03,,,53.16
292,2025-10-07,53.16,,
293,2025-10-08,,,53.16
294,2025-10-16,53.16,,
295,2025-10-19,53.16,,53.16
296,2025-10-22,,,53.16
297,2025-10-25,,,53.16
298,2025-10-26,53.16,,
299,2025-10-28,,,53.16
300,2025-10-29,53.16,,
301,2025-10-31,,,53.16
302,2025-11-06,43.0,,53.16
303,2025-11-09,,53.16,
304,2025-11-11,43.0,,
305,2025-11-15,43.0,43.0,
