,Launch_Date,LC40,LC39A,SLC4E
0,2019-05-24,13620.0,,
1,2019-11-11,15600.0,,
2,2020-01-07,15600.0,,
3,2020-01-29,15600.0,,
4,2020-02-17,15600.0,,
5,2020-03-18,,15600.0,
6,2020-04-22,,15600.0,
7,2020-06-04,15600.0,,
8,2020-06-13,15410.0,,
9,2020-08-07,,14930.0,
10,2020-08-18,15410.0,,
11,2020-09-03,,15600.0,
12,2020-10-06,,15600.0,
13,2020-10-18,,15600.0,
14,2020-10-24,15600.0,,
15,2020-11-25,15600.0,,
16,2021-01-20,,15600.0,
17,2021-02-04,15600.0,,
18,2021-02-16,15600.0,,
19,2021-03-04,,15600.0,
20,2021-03-11,15600.0,,
21,2021-03-14,,15600.0,
22,2021-03-24,15600.0,,
23,2021-04-07,15600.0,,
24,2021-04-29,15600.0,,
25,2021-05-04,,15600.0,
26,2021-05-09,15600.0,,
27,2021-05-15,,13643.0,
28,2021-05-26,15600.0,,
29,2021-09-14,,,15147.0
30,2021-11-13,15370.0,,
31,2021-12-02,14030.0,,
32,2021-12-18,,,15080.0
33,2022-01-06,,14553.0,
34,2022-01-19,,14553.0,
35,2022-02-03,,5049.0,
36,2022-02-21,13662.0,,
37,2022-02-25,,,14850.0
38,2022-03-03,,13959.0,
39,2022-03-09,14256.0,,
40,2022-03-19,15741.0,,
41,2022-04-21,15741.0,,
42,2022-04-29,15741.0,,
43,2022-05-06,,15741.0,
44,2022-05-13,,,15741.0
45,2022-05-14,15741.0,,
46,2022-05-18,,15741.0,
47,2022-06-17,,15741.0,
48,2022-07-07,15741.0,,
49,2022-07-11,,,13662.0
50,2022-07-17,15741.0,,
51,2022-07-22,,,13662.0
52,2022-07-24,,15741.0,
53,2022-08-10,,15444.0,
54,2022-08-12,,,13800.0
55,2022-08-19,15900.0,,
56,2022-08-28,16200.0,,
57,2022-08-31,,,13800.0
58,2022-09-05,15735.0,,
59,2022-09-11,,11870.0,
60,2022-09-19,16470.0,,
61,2022-09-24,15860.0,,
62,2022-10-05,,,15860.0
63,2022-10-20,16470.0,,
64,2022-10-28,,,16165.0
65,2022-12-17,,16470.0,
66,2022-12-28,16470.0,,
67,2023-01-19,,,15555.0
68,2023-01-26,17080.0,,
69,2023-01-31,,,15105.0
70,2023-02-02,,16165.0,
71,2023-02-12,16775.0,,
72,2023-02-17,,,15555.0
73,2023-02-27,15330.0,,
74,2023-03-03,,,15555.0
75,2023-03-17,,,15860.0
76,2023-03-24,17080.0,,
77,2023-03-29,17080.0,,
78,2023-04-19,15330.0,,
79,2023-04-27,,,13800.0
80,2023-05-04,17080.0,,
81,2023-05-10,,,15555.0
82,2023-05-14,17080.0,,
83,2023-05-19,16060.0,,
84,2023-05-31,,,15860.0
85,2023-06-04,16060.0,,
86,2023-06-12,15860.0,,
87,2023-06-22,,,14335.0
88,2023-06-23,17080.0,,
89,2023-07-07,,,14640.0
90,2023-07-10,16060.0,,
91,2023-07-16,16470.0,,
92,2023-07-20,,,10950.0
93,2023-07-24,16060.0,,
94,2023-07-28,16060.0,,
95,2023-08-07,16060.0,,
96,2023-08-08,,,10950.0
97,2023-08-11,16060.0,,
98,2023-08-17,16060.0,,
99,2023-08-22,,,15330.0
100,2023-08-27,16060.0,,
101,2023-09-01,16060.0,,
102,2023-09-04,,15330.0,
103,2023-09-09,16060.0,,
104,2023-09-12,,,15330.0
105,2023-09-16,16060.0,,
106,2023-09-20,16060.0,,
107,2023-09-24,16060.0,,
108,2023-09-25,,,15330.0
109,2023-09-30,16060.0,,
110,2023-10-05,16060.0,,
111,2023-10-09,,,15330.0
112,2023-10-13,16060.0,,
113,2023-10-18,16060.0,,
114,2023-10-21,,,15330.0
115,2023-10-22,16790.0,,
116,2023-10-29,,,16060.0
117,2023-10-30,16790.0,,
118,2023-11-04,16790.0,,
119,2023-11-08,16790.0,,
120,2023-11-18,16790.0,,
121,2023-11-20,,,16060.0
122,2023-11-22,16790.0,,
123,2023-11-28,16790.0,,
124,2023-12-03,16790.0,,
125,2023-12-07,16790.0,,
126,2023-12-08,,,16060.0
127,2023-12-19,16790.0,,
128,2023-12-23,16790.0,,
129,2023-12-29,16790.0,,
130,2024-01-03,,,16710.0
131,2024-01-07,16790.0,,
132,2024-01-14,,,16060.0
133,2024-01-15,16790.0,,
134,2024-01-24,,,16060.0
135,2024-01-29,,16790.0,16060.0
136,2024-02-10,,,16060.0
137,2024-02-15,,,16060.0
138,2024-02-23,,,16060.0
139,2024-02-25,17520.0,,
140,2024-02-29,16790.0,,
141,2024-03-04,16790.0,,
142,2024-03-10,16790.0,,
143,2024-03-11,,,16790.0
144,2024-03-16,,16790.0,
145,2024-03-19,,,16060.0
146,2024-03-24,,16790.0,
147,2024-03-25,16790.0,,
148,2024-03-31,16790.0,,
149,2024-04-02,,,16060.0
150,2024-04-05,16790.0,,
151,2024-04-07,,,16710.0
152,2024-04-10,16790.0,,
153,2024-04-13,16790.0,,
154,2024-04-17,,16790.0,
155,2024-04-18,16790.0,,
156,2024-04-23,16790.0,,
157,2024-04-28,16790.0,,
158,2024-05-03,16790.0,,
159,2024-05-06,16790.0,,
160,2024-05-08,,16790.0,
161,2024-05-10,,,17590.0
162,2024-05-13,16790.0,,
163,2024-05-14,,,17590.0
164,2024-05-18,16790.0,,
165,2024-05-23,16790.0,,
166,2024-05-24,,16790.0,
167,2024-05-28,16790.0,,
168,2024-06-01,16790.0,,
169,2024-06-05,17590.0,,
170,2024-06-08,16060.0,,17590.0
171,2024-06-19,,,17590.0
172,2024-06-23,16060.0,,
173,2024-06-24,,,17590.0
174,2024-06-27,16790.0,,
175,2024-07-03,17590.0,,
176,2024-07-12,,,1920.0
177,2024-07-27,,16790.0,
178,2024-07-28,16790.0,,18320.0
179,2024-08-02,,16790.0,
180,2024-08-04,,,16790.0
181,2024-08-10,18320.0,,
182,2024-08-12,,16790.0,
183,2024-08-20,16060.0,,
184,2024-08-28,18320.0,,
185,2024-08-31,18320.0,,18320.0
186,2024-09-05,18320.0,,
187,2024-09-13,,,18320.0
188,2024-09-20,,,17590.0
189,2024-09-25,,,17590.0
190,2024-10-15,16790.0,,17590.0
191,2024-10-18,17590.0,,
192,2024-10-23,16790.0,,
193,2024-10-26,16060.0,,
194,2024-10-30,16790.0,,17590.0
195,2024-11-07,16790.0,,
196,2024-11-09,,,17590.0
197,2024-11-11,17520.0,,
198,2024-11-14,17520.0,,17590.0
199,2024-11-18,,,17590.0
200,2024-11-21,17520.0,,
201,2024-11-24,,,17590.0
202,2024-11-25,17350.0,,
203,2024-11-27,,17520.0,
204,2024-11-30,17520.0,,
205,2024-12-04,17520.0,,
206,2024-12-05,,,17590.0
207,2024-12-08,17780.0,,
208,2024-12-13,,,16060.0
209,2024-12-23,,18320.0,
210,2024-12-29,,,16060.0
211,2024-12-31,,18320.0,
212,2025-01-06,17520.0,,
213,2025-01-08,,18320.0,
214,2025-01-10,18320.0,,
215,2025-01-13,18320.0,,
216,2025-01-21,,16930.0,15525.0
217,2025-01-24,,,16790.0
218,2025-01-27,18320.0,,
219,2025-02-01,,,16060.0
220,2025-02-04,18320.0,,
221,2025-02-08,18320.0,,
222,2025-02-11,18320.0,,16790.0
223,2025-02-15,18320.0,,
224,2025-02-18,16790.0,,
225,2025-02-21,18230.0,,
226,2025-02-23,,,16060.0
227,2025-02-27,18320.0,,
228,2025-03-03,18320.0,,
229,2025-03-13,18320.0,,
230,2025-03-15,18230.0,,
231,2025-03-18,18230.0,,
232,2025-03-26,,,15835.0
233,2025-03-31,16100.0,,
234,2025-04-04,,,15525.0
235,2025-04-06,16100.0,,
236,2025-04-07,,,15525.0
237,2025-04-13,,18320.0,
238,2025-04-14,15835.0,,
239,2025-04-25,16100.0,,
240,2025-04-28,18230.0,,15525.0
241,2025-04-29,,18230.0,
242,2025-05-02,16100.0,,
243,2025-05-04,,16675.0,
244,2025-05-07,16100.0,,
245,2025-05-10,16100.0,,14950.0
246,2025-05-13,,16100.0,14950.0
247,2025-05-14,16100.0,,
248,2025-05-16,,,14950.0
249,2025-05-21,18230.0,,
250,2025-05-23,,,15525.0
251,2025-05-24,18230.0,,
252,2025-05-27,,,13800.0
253,2025-05-28,,15525.0,
254,2025-05-31,,,15525.0
255,2025-06-03,18230.0,,
256,2025-06-04,,,15525.0
257,2025-06-08,,,14950.0
258,2025-06-10,18230.0,,
259,2025-06-13,18230.0,,14950.0
260,2025-06-17,,,14950.0
261,2025-06-18,16100.0,,
262,2025-06-23,15685.0,,
263,2025-06-25,15525.0,,
264,2025-06-28,15525.0,,14950.0
265,2025-07-02,15525.0,,
266,2025-07-08,16100.0,,
267,2025-07-16,,,14950.0
268,2025-07-19,,,13800.0
269,2025-07-26,16100.0,,
270,2025-07-27,,,13800.0
271,2025-07-30,16100.0,,
272,2025-07-31,,,12525.0
273,2025-08-04,16100.0,,
274,2025-08-14,16100.0,,13800.0
275,2025-08-18,,,13800.0
276,2025-08-22,,,13800.0
277,2025-08-27,16100.0,,
278,2025-08-28,,16100.0,
279,2025-08-30,,,13800.0
280,2025-08-31,16100.0,,
281,2025-09-03,16100.0,,13800.0
282,2025-09-05,,16100.0,
283,2025-09-06,,,13800.0
284,2025-09-13,,,13800.0
285,2025-09-18,16100.0,,
286,2025-09-19,,,13800.0
287,2025-09-21,16100.0,,
288,2025-09-25,16100.0,,
289,2025-09-26,,,13800.0
290,2025-09-29,,,16100.0
