Apogee,LC39A,LC40,SLC4E
255.0,,,53.17
268.0,,,53.16
269.0,53.05,,
270.0,,53.05,
272.0,,43.0,
273.0,,,97.6
274.0,53.16,,53.16
275.0,,53.16,53.16
276.0,53.06666666666666,,
277.0,43.0,48.03,53.17
278.0,46.38666666666666,48.05,
279.0,,52.56166666666667,61.58
280.0,53.05,,58.78
281.0,53.05,49.74,53.155
282.0,43.01,53.05,
283.0,,43.00333333333333,53.17
284.0,53.05,48.09,53.16
285.0,53.16,43.004999999999995,
286.0,,49.73333333333333,
287.0,,43.0,
288.0,43.01,43.0,53.155
289.0,,43.01,53.17
290.0,53.0,43.0075,53.167500000000004
291.0,43.01,43.78923076923077,
292.0,43.007999999999996,43.0072972972973,49.74333333333334
293.0,43.01,43.005714285714284,53.1375
294.0,,48.03,53.11333333333334
295.0,,53.16,53.1425
296.0,,53.16,53.17
297.0,,53.10666666666666,
298.0,,53.16,53.17
299.0,,,53.17
300.0,,53.056666666666665,
301.0,,53.05,
302.0,,49.77333333333333,
310.0,,,53.22
311.0,,53.22,
312.0,,,43.0
313.0,43.01,,53.22
314.0,,53.21,53.195
315.0,53.22,53.22,
316.0,53.21,53.21,
317.0,53.21,53.22,70.0
319.0,,,97.6675
320.0,43.01,,
321.0,,43.00666666666666,
322.0,,43.01,
323.0,,,70.0
324.0,,53.22,
327.0,,53.22,
328.0,53.22,,70.0
330.0,,53.22,
331.0,,43.01,70.01
332.0,,,70.0
334.0,53.21,53.22,52.0
335.0,53.22,49.81333333333333,
336.0,53.22,46.406666666666666,
337.0,53.22,50.67,61.61
338.0,53.0,43.004999999999995,
339.0,53.23,43.0025,53.22
342.0,42.98,,
344.0,,,53.175
347.0,,53.05,
349.0,,,97.67
352.0,,43.0,
353.0,,53.0,
354.0,53.01,,
355.0,,53.0,
362.0,,53.0,
372.0,,43.01,
380.0,,53.0,
422.0,53.01,,
440.0,,53.22,
442.0,,53.0,
583.0,53.04,,
