Launch_Date,LC39A,LC40,SLC4E
2019-05-24,,13620.0,
2019-11-11,,15600.0,
2020-01-07,,15600.0,
2020-01-29,,15600.0,
2020-02-17,,15600.0,
2020-03-18,15600.0,,
2020-04-22,15600.0,,
2020-06-04,,15600.0,
2020-06-13,,15410.0,
2020-08-07,14930.0,,
2020-08-18,,15410.0,
2020-09-03,15600.0,,
2020-10-06,15600.0,,
2020-10-18,15600.0,,
2020-10-24,,15600.0,
2020-11-25,,15600.0,
2021-01-20,15600.0,,
2021-02-04,,15600.0,
2021-02-16,,15600.0,
2021-03-04,15600.0,,
2021-03-11,,15600.0,
2021-03-14,15600.0,,
2021-03-24,,15600.0,
2021-04-07,,15600.0,
2021-04-29,,15600.0,
2021-05-04,15600.0,,
2021-05-09,,15600.0,
2021-05-15,13643.0,,
2021-05-26,,15600.0,
2021-09-14,,,15147.0
2021-11-13,,15370.0,
2021-12-02,,14030.0,
2021-12-18,,,15080.0
2022-01-06,14553.0,,
2022-01-19,14553.0,,
2022-02-03,5049.0,,
2022-02-21,,13662.0,
2022-02-25,,,14850.0
2022-03-03,13959.0,,
2022-03-09,,14256.0,
2022-03-19,,15741.0,
2022-04-21,,15741.0,
2022-04-29,,15741.0,
2022-05-06,15741.0,,
2022-05-13,,,15741.0
2022-05-14,,15741.0,
2022-05-18,15741.0,,
2022-06-17,15741.0,,
2022-07-07,,15741.0,
2022-07-11,,,13662.0
2022-07-17,,15741.0,
2022-07-22,,,13662.0
2022-07-24,15741.0,,
2022-08-10,15444.0,,
2022-08-12,,,13800.0
2022-08-19,,15900.0,
2022-08-28,,16200.0,
2022-08-31,,,13800.0
2022-09-05,,15735.0,
2022-09-11,11870.0,,
2022-09-19,,16470.0,
2022-09-24,,15860.0,
2022-10-05,,,15860.0
2022-10-20,,16470.0,
2022-10-28,,,16165.0
2022-12-17,16470.0,,
2022-12-28,,16470.0,
2023-01-19,,,15555.0
2023-01-26,,17080.0,
2023-01-31,,,15105.0
2023-02-02,16165.0,,
2023-02-12,,16775.0,
2023-02-17,,,15555.0
2023-02-27,,15330.0,
2023-03-03,,,15555.0
2023-03-17,,,15860.0
2023-03-24,,17080.0,
2023-03-29,,17080.0,
2023-04-19,,15330.0,
2023-04-27,,,13800.0
2023-05-04,,17080.0,
2023-05-10,,,15555.0
2023-05-14,,17080.0,
2023-05-19,,16060.0,
2023-05-31,,,15860.0
2023-06-04,,16060.0,
2023-06-12,,15860.0,
2023-06-22,,,14335.0
2023-06-23,,17080.0,
2023-07-07,,,14640.0
2023-07-10,,16060.0,
2023-07-16,,16470.0,
2023-07-20,,,10950.0
2023-07-24,,16060.0,
2023-07-28,,16060.0,
2023-08-07,,16060.0,
2023-08-08,,,10950.0
2023-08-11,,16060.0,
2023-08-17,,16060.0,
2023-08-22,,,15330.0
2023-08-27,,16060.0,
2023-09-01,,16060.0,
2023-09-04,15330.0,,
2023-09-09,,16060.0,
2023-09-12,,,15330.0
2023-09-16,,16060.0,
2023-09-20,,16060.0,
2023-09-24,,16060.0,
2023-09-25,,,15330.0
2023-09-30,,16060.0,
2023-10-05,,16060.0,
2023-10-09,,,15330.0
2023-10-13,,16060.0,
2023-10-18,,16060.0,
2023-10-21,,,15330.0
2023-10-22,,16790.0,
2023-10-29,,,16060.0
2023-10-30,,16790.0,
2023-11-04,,16790.0,
2023-11-08,,16790.0,
2023-11-18,,16790.0,
2023-11-20,,,16060.0
2023-11-22,,16790.0,
2023-11-28,,16790.0,
2023-12-03,,16790.0,
2023-12-07,,16790.0,
2023-12-08,,,16060.0
2023-12-19,,16790.0,
2023-12-23,,16790.0,
2023-12-29,,16790.0,
2024-01-03,,,15330.0
2024-01-07,,16790.0,
2024-01-14,,,16060.0
2024-01-15,,16790.0,
2024-01-24,,,16060.0
2024-01-29,16790.0,,16060.0
2024-02-10,,,16060.0
2024-02-15,,,16060.0
2024-02-23,,,16060.0
2024-02-25,,17520.0,
2024-02-29,,16790.0,
2024-03-04,,16790.0,
2024-03-10,,16790.0,
2024-03-11,,,16790.0
2024-03-16,16790.0,,
2024-03-19,,,16060.0
2024-03-24,16790.0,,
2024-03-25,,16790.0,
2024-03-31,,16790.0,
2024-04-02,,,16060.0
2024-04-05,,16790.0,
2024-04-07,,,15330.0
2024-04-10,,16790.0,
2024-04-13,,16790.0,
2024-04-17,16790.0,,
2024-04-18,,16790.0,
2024-04-23,,16790.0,
2024-04-28,,16790.0,
2024-05-03,,16790.0,
2024-05-06,,16790.0,
2024-05-08,16790.0,,
2024-05-10,,,14600.0
2024-05-13,,16790.0,
2024-05-14,,,14600.0
2024-05-18,,16790.0,
2024-05-23,,16790.0,
2024-05-24,16790.0,,
2024-05-28,,16790.0,
2024-06-01,,16790.0,
2024-06-05,,14600.0,
2024-06-08,,16060.0,14600.0
2024-06-19,,,14600.0
2024-06-23,,16060.0,
2024-06-24,,,14600.0
2024-06-27,,16790.0,
2024-07-03,,14600.0,
2024-07-12,,,1460.0
2024-07-27,16790.0,,
2024-07-28,,16790.0,15330.0
2024-08-02,16790.0,,
2024-08-04,,,16790.0
2024-08-10,,15330.0,
2024-08-12,16790.0,,
2024-08-20,,16060.0,
2024-08-28,,15330.0,
2024-08-31,,15330.0,15330.0
2024-09-05,,15330.0,
2024-09-13,,,15330.0
2024-09-20,,,14600.0
2024-09-25,,,14600.0
2024-10-15,,16790.0,14600.0
2024-10-18,,14600.0,
2024-10-23,,16790.0,
2024-10-26,,16060.0,
2024-10-30,,16790.0,14600.0
2024-11-07,,16790.0,
2024-11-09,,,14600.0
2024-11-11,,17520.0,
2024-11-14,,17520.0,14600.0
2024-11-18,,,14600.0
2024-11-21,,17520.0,
2024-11-24,,,14600.0
2024-11-25,,14590.0,
2024-11-27,17520.0,,
2024-11-30,,17520.0,
2024-12-04,,17520.0,
2024-12-05,,,14600.0
2024-12-08,,14790.0,
2024-12-13,,,16060.0
2024-12-23,15330.0,,
2024-12-29,,,16060.0
2024-12-31,15330.0,,
2025-01-06,,17520.0,
2025-01-08,15330.0,,
2025-01-10,,15330.0,
