Launch_Date,LEO,SSO,MEO,GEO,HEO,BEO
1964-04-08,272.0,,,,,
1964-12-10,182.0,,,,,
1965-02-11,,,2797.0,,,
1965-03-23,225.0,,,,,
1965-05-06,,,3745.0,,,
1965-06-03,289.0,,,,,
1965-06-18,189.0,,,,,
1965-08-21,330.0,,,,,
1965-10-15,761.0,,,,,
1965-12-04,303.0,,,,,
1965-12-15,274.0,,,,,
1965-12-21,,,,33390.0,,
1966-03-16,270.0,,,,,
1966-06-03,274.0,,,,,
1966-06-16,,,,33857.0,,
1966-07-18,757.0,,,,,
1966-07-29,245.0,,,,,
1966-09-12,1368.0,,,,,
1966-09-28,296.0,,,,,
1966-11-03,280.0,,,,,
1966-11-11,291.0,,,,,
1966-12-14,367.0,,,,,
1967-01-18,,,,33843.0,,
1967-02-24,399.0,,,,,
1967-04-28,,,,,110534.0,
1967-06-20,320.0,,,,,
1967-07-01,,,,33534.0,,
1967-08-16,439.0,,,,,
1967-09-19,399.0,,,,,
1967-10-25,400.0,,,,,
1967-12-05,418.0,,,,,
1968-01-18,431.0,,,,,
1968-03-13,,403.0,,,,
1968-04-17,389.0,,,,,
1968-06-05,420.0,,,,,
1968-06-13,,,,33871.0,,
1968-08-06,392.0,,,,,
1968-09-10,402.0,,,,,
1968-09-26,,,,35798.0,,
1968-11-06,382.0,,,,,
1968-12-04,654.0,,,,,
1969-01-22,1086.0,,,,,
1969-02-09,,,,35803.0,,
1969-03-04,448.0,,,,,
1969-04-15,396.0,,,,,
1969-05-23,,,,,111712.0,
1969-06-03,415.0,,,,,
1969-08-23,368.0,,,,,
1969-10-24,579.0,,,,,
1970-01-14,375.0,,,,,
1970-04-08,,,,,111664.0,
1970-04-15,370.0,,,,,
1970-06-25,400.0,,,,,
1970-08-18,442.0,,,,,
1970-10-23,387.0,,,,,
1970-11-06,,,,35930.0,,
1971-01-21,417.0,,,,,
1971-03-21,,,,,39321.0,
1971-04-22,382.0,,,,,
1971-05-05,,,,35798.0,,
1971-06-15,,285.0,,,,
1971-08-12,405.0,,,,,
1971-10-23,393.0,,,,,
1971-11-03,,,,35792.0,,
1972-01-20,,321.0,,,,
1972-03-01,,,,35881.0,,
1972-03-17,392.0,,,,,
1972-07-07,,252.0,,,,
1972-09-01,382.0,,,,,
1972-10-10,,270.0,,,,
1972-12-21,390.0,,,,,
1973-03-09,,265.0,,,,
1973-05-16,392.0,,,,,
1973-06-12,,,,35846.0,,
1973-07-13,,273.0,,,,
1973-08-21,,,,,39206.0,
1973-09-27,404.0,,,,,
1973-11-10,,263.0,,,,
1973-12-13,,,,35821.0,,
1974-02-13,394.0,,,,,
1974-04-10,272.0,,,,,
1974-05-30,,,,35794.0,,
1974-06-06,407.0,,,,,
1974-08-14,411.0,,,,,
1974-10-29,,273.0,,,,
1974-12-10,,,,,,-21954.0
1975-03-10,,,,,39577.0,
1975-04-18,400.0,,,,,
1975-05-20,,,,236.0,,
1975-06-08,,264.0,,,,
1975-08-20,,,,,,-50629.0
1975-09-09,,,,,,-65940.0
1975-10-09,,357.0,,,,
1975-12-04,,229.0,,,,
1975-12-14,,,,35866.0,,
1976-01-15,,,,,,-21032.0
1976-03-15,,,,35812.0,,
1976-03-22,,345.0,,,,
1976-06-02,,,,,39192.0,
1976-06-26,,,,35819.0,,
1976-07-08,,238.0,,,,
1976-08-06,,,,,39224.0,
1976-09-15,,333.0,,,,
1976-12-19,,531.0,,,,
1977-02-06,,,,35796.0,,
1977-03-13,,357.0,,,,
1977-05-12,,,,35793.0,,
1977-06-27,,242.0,,,,
1977-08-20,,,,,,-20834.0
1977-09-05,,,,,,-20658.0
1977-09-23,,345.0,,,,
