,Inc,LEO,SSO,MEO,GEO,HEO,BEO
0,0.01,,,,35796.0,,
1,0.09,,,,33871.0,,
2,0.1,,,,35799.0,,
3,0.29,,,,33843.0,,
4,0.31,,,,35821.0,,
5,0.33,35887.0,,,,,
6,0.41,,,,35794.0,,
7,0.43,,,,33857.0,,
8,0.68,,,,36105.0,,
9,0.88,,,,35803.0,,
10,1.0,,,,35800.0,,
11,1.7,,,,35815.0,,
12,1.93,,,,35804.0,,
13,2.0,,,,35800.0,,
14,2.02,,,,35796.0,,
15,2.31,,,,35792.0,,
16,2.37,,,,35787.0,,
17,2.38,,,,35793.0,,
18,2.39,,,,35775.0,,
19,2.5,,,,35819.0,,
20,2.56,,,,35792.0,,
21,2.86,,,,35798.0,,
22,2.9,,,,35875.0,,
23,3.0,,,,35785.0,,
24,3.31,,,,35866.0,,
25,3.37,35787.0,,,,,
26,3.53,,,,35795.0,,
27,4.0,,,,35803.0,,
28,4.45,,,,35736.0,,
29,4.5,,,,35768.0,,
30,4.6,,,,35981.0,,
31,4.99,,,,35846.0,,
32,5.0,,,,36123.0,,
33,5.72,,,,35881.0,,
34,6.56,,,,35798.0,,
35,6.88,,,,33534.0,,
36,7.5,,,,41497.0,,
37,7.61,,,,35930.0,,
38,10.0,,,,41250.0,,
39,12.0,,,,42039.0,,
40,25.21,,,,35812.0,,
41,26.51,,,,33390.0,,
42,26.7,,,,39400.0,,
43,28.2,,,,5152.0,,
44,28.34,560.0,,,,,
45,28.51,,,,,,-20658.0
46,28.58,,,,236.0,,
47,28.63,,,,,,-60927.0
48,28.8,757.0,,,,,
49,28.83,1368.0,,,,,
50,28.84,291.0,,,,,
51,28.86,274.0,,,,,
52,28.9,282.3333333333333,,,,,
53,29.29,,,,34730.0,,
54,29.3,,,,,,-65093.333333333336
55,29.8,,,,,,-21954.0
56,30.3,,,,,,-21032.0
57,32.09,,,3745.0,,,
58,32.14,189.0,,2797.0,,,
59,32.15,182.0,,,,,
60,32.17,761.0,,,,,
61,32.26,,,,,111664.0,
62,32.5,289.0,,,,,
63,32.56,272.0,,,,,
64,32.59,330.0,,,,,
65,32.62,225.0,,,,,
66,32.84,280.0,,,,,
67,33.16,,,,,111712.0,
68,34.43,,,,,110534.0,
69,41.86,,,,,,-20834.0
70,57.01,696.5,,,,,
71,62.5,,,,,39224.0,
72,63.0,,,,,39500.0,
73,63.06,,,,,38728.0,
74,63.2,,,,,39377.0,
75,63.26,,,,,39206.0,
76,63.28,,,,,39321.0,
77,63.3,,,,,39315.0,
78,63.36,11613.0,,,,,
79,63.4,,,,,39750.0,
80,63.41,1165.0,,,,38780.0,
81,63.42,11517.0,,,,,
82,63.44,3137.0,,,,,
83,63.47,,,,,39577.0,
84,63.5,,,,,36732.0,
85,63.6,,,,,38347.0,
86,63.8,,,,,39130.0,
87,64.13,39327.0,,,,,
88,64.74,,,38740.0,,,
89,66.87,128608.0,,,,,
90,68.0,677.0,,,,,
91,68.03,676.0,,,,,
92,84.99,794.0,,,,,
93,85.0,300.0,,,,,
94,85.02,797.0,,,,,
95,92.01,448.0,,,,,
96,93.98,296.0,,,,,
97,94.12,245.0,,,,,
98,94.49,272.0,,,,,
99,95.67,,265.0,,,,
100,96.2,,273.0,,,,
101,96.25,,229.0,,,,
102,96.32,,263.0,,,,
103,96.36,,264.0,,,,
104,96.37,,255.0,,,,
105,96.39,,268.5,,,,
106,96.4,,305.0,,,,
107,96.43,,270.0,,,,
108,96.44,,245.0,,,,
109,96.48,,345.0,,,,
110,96.5,,229.0,,,,
111,96.51,,264.0,,,,
112,96.66,,273.0,,,,
113,96.82,,483.0,,,,
114,96.87,,252.0,,,,
115,96.91,,263.0,,,,
116,96.95,,531.0,,,,
117,96.97,,454.0,,,,
118,96.98,,238.0,,,,
119,97.0,,376.5,,,,
120,97.02,,321.0,,,,
121,97.05,,485.0,,,,
122,97.25,,645.0,,,,
123,97.75,,1012.0,,,,
124,97.8,,1041.0,,,,
125,97.83,,884.0,,,,
126,97.87,,1040.0,,,,
127,97.88,,1031.5,,,,
128,97.91,,985.0,,,,
129,97.98,,922.0,,,,
130,98.62,,807.0,,,,
131,98.71,,823.0,,,,
132,98.72,,846.0,,,,
133,98.78,,822.0,,,,
134,98.79,,863.0,,,,
135,98.9,,851.0,,,,
136,98.93,,852.0,,,,
137,98.94,,855.0,,,,
138,99.87,,403.0,,,,
139,106.02,402.0,,,,,
140,106.04,382.0,,,,,
141,106.1,399.0,,,,,
142,106.15,1086.0,,,,,
143,106.18,654.0,,,,,
144,106.99,399.0,,,,,
145,108.0,473.5,,,,,
146,108.71,396.0,,,,,
147,108.88,400.0,,,,,
148,109.56,367.0,,,,,
149,109.58,418.0,,,,,
150,109.94,375.0,,,,,
151,109.96,415.0,,,,,
152,110.0,392.0,,,,,
153,110.41,382.0,,,,,
154,110.42,394.0,,,,,
155,110.43,390.0,,,,,
156,110.46,404.0,,,,,
157,110.49,407.0,,,,,
158,110.51,401.5,,,,,
159,110.52,400.0,,,,,
160,110.53,420.0,,,,,
161,110.83,417.0,,,,,
162,110.92,382.0,,,,,
163,110.94,393.0,,,,,
164,110.97,381.0,,,,,
165,110.98,423.5,,,,,
166,111.02,387.0,,,,,
167,111.4,320.0,,,,,
168,111.49,389.0,,,,,
169,111.5,431.0,,,,,
170,111.55,400.0,,,,,
171,111.58,439.0,,,,,
