,Launch_Date,LEO,SSO,MEO,GEO,HEO,BEO
0,1964-04-08,32.56,,,,,
1,1964-12-10,32.15,,,,,
2,1965-02-11,,,32.14,,,
3,1965-03-23,32.62,,,,,
4,1965-05-06,,,32.09,,,
5,1965-06-03,32.5,,,,,
6,1965-06-18,32.14,,,,,
7,1965-08-21,32.59,,,,,
8,1965-10-15,32.17,,,,,
9,1965-12-04,28.9,,,,,
10,1965-12-15,28.9,,,,,
11,1965-12-21,,,,26.51,,
12,1966-03-16,28.9,,,,,
13,1966-06-03,28.86,,,,,
14,1966-06-16,,,,0.43,,
15,1966-07-18,28.8,,,,,
16,1966-07-29,94.12,,,,,
17,1966-09-12,28.83,,,,,
18,1966-09-28,93.98,,,,,
19,1966-11-03,32.84,,,,,
20,1966-11-11,28.84,,,,,
21,1966-12-14,109.56,,,,,
22,1967-01-18,,,,0.29,,
23,1967-02-24,106.99,,,,,
24,1967-04-28,,,,,34.43,
25,1967-06-20,111.4,,,,,
26,1967-07-01,,,,6.88,,
27,1967-08-16,111.58,,,,,
28,1967-09-19,106.1,,,,,
29,1967-10-25,111.55,,,,,
30,1967-12-05,109.58,,,,,
31,1968-01-18,111.5,,,,,
32,1968-03-13,,99.87,,,,
33,1968-04-17,111.49,,,,,
34,1968-06-05,110.53,,,,,
35,1968-06-13,,,,0.09,,
36,1968-08-06,110.0,,,,,
37,1968-09-10,106.02,,,,,
38,1968-09-26,,,,2.86,,
39,1968-11-06,106.04,,,,,
40,1968-12-04,106.18,,,,,
41,1969-01-22,106.15,,,,,
42,1969-02-09,,,,0.88,,
43,1969-03-04,92.01,,,,,
44,1969-04-15,108.71,,,,,
45,1969-05-23,,,,,33.16,
46,1969-06-03,109.96,,,,,
47,1969-08-23,108.0,,,,,
48,1969-10-24,108.0,,,,,
49,1970-01-14,109.94,,,,,
50,1970-04-08,,,,,32.26,
51,1970-04-15,110.97,,,,,
52,1970-06-25,108.88,,,,,
53,1970-08-18,110.98,,,,,
54,1970-10-23,111.02,,,,,
55,1970-11-06,,,,7.61,,
56,1971-01-21,110.83,,,,,
57,1971-03-21,,,,,63.28,
58,1971-04-22,110.92,,,,,
59,1971-05-05,,,,6.56,,
60,1971-06-15,,96.39,,,,
61,1971-08-12,110.98,,,,,
62,1971-10-23,110.94,,,,,
63,1971-11-03,,,,2.56,,
64,1972-01-20,,97.02,,,,
65,1972-03-01,,,,5.72,,
66,1972-03-17,110.97,,,,,
67,1972-07-07,,96.87,,,,
68,1972-09-01,110.41,,,,,
69,1972-10-10,,96.43,,,,
70,1972-12-21,110.43,,,,,
71,1973-03-09,,95.67,,,,
72,1973-05-16,110.51,,,,,
73,1973-06-12,,,,4.99,,
74,1973-07-13,,96.2,,,,
75,1973-08-21,,,,,63.26,
76,1973-09-27,110.46,,,,,
77,1973-11-10,,96.91,,,,
78,1973-12-13,,,,0.31,,
79,1974-02-13,110.42,,,,,
80,1974-04-10,94.49,,,,,
81,1974-05-30,,,,0.41,,
82,1974-06-06,110.49,,,,,
83,1974-08-14,110.51,,,,,
84,1974-10-29,,96.66,,,,
85,1974-12-10,,,,,,29.8
86,1975-03-10,,,,,63.47,
87,1975-04-18,110.52,,,,,
88,1975-05-20,,,,28.58,,
89,1975-06-08,,96.36,,,,
90,1975-08-20,,,,,,29.3
91,1975-09-09,,,,,,29.3
92,1975-10-09,,96.4,,,,
93,1975-12-04,,96.25,,,,
94,1975-12-14,,,,3.31,,
95,1976-01-15,,,,,,30.3
96,1976-03-15,,,,25.21,,
97,1976-03-22,,96.4,,,,
98,1976-06-02,,,,,63.5,
99,1976-06-26,,,,2.5,,
100,1976-07-08,,96.98,,,,
101,1976-08-06,,,,,62.5,
102,1976-09-15,,96.4,,,,
103,1976-12-19,,96.95,,,,
104,1977-02-06,,,,2.02,,
105,1977-03-13,,96.4,,,,
106,1977-05-12,,,,2.38,,
107,1977-06-27,,97.0,,,,
108,1977-08-20,,,,,,41.86
109,1977-09-05,,,,,,28.51
110,1977-09-23,,96.48,,,,
111,1978-02-25,,,,,63.5,
112,1978-03-16,,96.4,,,,
113,1978-06-10,,,,12.0,,
114,1978-06-14,,96.82,,,,
115,1978-08-05,,,,,63.2,
116,1978-12-14,,,,2.31,,
117,1979-03-16,,96.37,,,,
118,1979-05-28,,96.4,,,,
119,1979-06-10,,,,3.0,,
