,Launch_Date,LEO,SSO,MEO,GEO,HEO,BEO
0,1964-04-08,2188.0,,,,,
1,1964-12-10,1366.0,,,,,
2,1965-02-11,,,367.0,,,
3,1965-03-23,2075.0,,,,,
4,1965-05-06,,,195.0,,,
5,1965-06-03,2134.0,,,,,
6,1965-06-18,8948.0,,,,,
7,1965-08-21,2182.0,,,,,
8,1965-10-15,204.0,,,,,
9,1965-12-04,2188.0,,,,,
10,1965-12-15,2168.0,,,,,
11,1965-12-21,,,,280.0,,
12,1966-03-16,2213.0,,,,,
13,1966-06-03,2210.0,,,,,
14,1966-06-16,,,,362.0,,
15,1966-07-18,2161.0,,,,,
16,1966-07-29,2250.0,,,,,
17,1966-09-12,2147.0,,,,,
18,1966-09-28,2250.0,,,,,
19,1966-11-03,7079.0,,,,,
20,1966-11-11,2178.0,,,,,
21,1966-12-14,2250.0,,,,,
22,1967-01-18,,,,360.0,,
23,1967-02-24,2250.0,,,,,
24,1967-04-28,,,,,469.0,
25,1967-06-20,2250.0,,,,,
26,1967-07-01,,,,500.0,,
27,1967-08-16,2250.0,,,,,
28,1967-09-19,2250.0,,,,,
29,1967-10-25,2250.0,,,,,
30,1967-12-05,2250.0,,,,,
31,1968-01-18,2250.0,,,,,
32,1968-03-13,,2250.0,,,,
33,1968-04-17,2250.0,,,,,
34,1968-06-05,2250.0,,,,,
35,1968-06-13,,,,360.0,,
36,1968-08-06,2250.0,,,,,
37,1968-09-10,2250.0,,,,,
38,1968-09-26,,,,392.0,,
39,1968-11-06,2250.0,,,,,
40,1968-12-04,2250.0,,,,,
41,1969-01-22,2250.0,,,,,
42,1969-02-09,,,,721.0,,
43,1969-03-04,2250.0,,,,,
44,1969-04-15,2250.0,,,,,
45,1969-05-23,,,,,527.0,
46,1969-06-03,2250.0,,,,,
47,1969-08-23,2250.0,,,,,
48,1969-10-24,2400.0,,,,,
49,1970-01-14,2400.0,,,,,
50,1970-04-08,,,,,504.0,
51,1970-04-15,2400.0,,,,,
52,1970-06-25,2400.0,,,,,
53,1970-08-18,2400.0,,,,,
54,1970-10-23,2400.0,,,,,
55,1970-11-06,,,,894.0,,
56,1971-01-21,2400.0,,,,,
57,1971-03-21,,,,,1000.0,
58,1971-04-22,2400.0,,,,,
59,1971-05-05,,,,903.0,,
60,1971-06-15,,6737.0,,,,
61,1971-08-12,2400.0,,,,,
62,1971-10-23,2400.0,,,,,
63,1971-11-03,,,,1052.0,,
64,1972-01-20,,6627.0,,,,
65,1972-03-01,,,,903.0,,
66,1972-03-17,2426.0,,,,,
67,1972-07-07,,6632.0,,,,
68,1972-09-01,2400.0,,,,,
69,1972-10-10,,6136.0,,,,
70,1972-12-21,2400.0,,,,,
71,1973-03-09,,6546.0,,,,
72,1973-05-16,2400.0,,,,,
73,1973-06-12,,,,966.0,,
74,1973-07-13,,6582.0,,,,
75,1973-08-21,,,,,1000.0,
76,1973-09-27,2400.0,,,,,
77,1973-11-10,,8069.0,,,,
78,1973-12-13,,,,1170.0,,
79,1974-02-13,2400.0,,,,,
80,1974-04-10,7249.0,,,,,
81,1974-05-30,,,,1357.0,,
82,1974-06-06,2400.0,,,,,
83,1974-08-14,2400.0,,,,,
84,1974-10-29,,7426.0,,,,
85,1974-12-10,,,,,,370.0
86,1975-03-10,,,,,1000.0,
87,1975-04-18,2400.0,,,,,
88,1975-05-20,,,,1070.0,,
89,1975-06-08,,7824.0,,,,
90,1975-08-20,,,,,,3013.0
91,1975-09-09,,,,,,3013.0
92,1975-10-09,,2400.0,,,,
93,1975-12-04,,7842.0,,,,
94,1975-12-14,,,,1040.0,,
95,1976-01-15,,,,,,370.0
96,1976-03-15,,,,1182.0,,
97,1976-03-22,,2400.0,,,,
98,1976-06-02,,,,,800.0,
99,1976-06-26,,,,1040.0,,
100,1976-07-08,,8184.0,,,,
