Launch_Year,LEO,SSO,MEO,GTO,GEO,HEO,BEO
1964,3,0,0,0,0,0,0
1965,8,0,2,0,1,0,0
1966,9,0,0,0,2,0,0
1967,7,0,0,0,2,1,0
1968,7,1,0,0,2,0,0
1969,6,0,0,0,1,1,0
1970,5,0,0,0,1,1,0
1971,4,1,0,0,2,1,0
1972,4,3,0,0,1,1,0
1973,3,3,0,0,2,1,0
1974,4,1,0,0,2,0,1
1975,1,3,0,0,2,1,2
1976,0,4,0,0,2,2,1
1977,0,3,0,0,2,0,2
1978,0,2,0,0,3,2,0
1979,0,2,0,0,3,0,0
1980,0,2,0,0,0,1,0
1981,0,2,0,0,2,1,0
1982,0,3,0,0,2,0,0
1983,0,2,0,0,0,1,0
1984,0,3,0,0,3,1,0
1985,0,1,0,0,0,1,0
1986,0,1,0,0,0,0,0
1987,0,1,0,0,1,1,0
1988,1,1,0,0,1,0,0
1989,1,0,0,0,3,0,0
1990,4,0,0,0,1,0,0
1991,2,0,0,0,0,0,0
1992,1,1,0,0,0,0,1
1993,1,1,0,0,0,0,0
1994,1,0,0,0,3,1,0
1995,0,1,0,0,2,1,0
1996,2,1,0,0,1,0,0
1997,1,1,1,0,1,0,1
1998,0,1,0,0,2,0,0
1999,1,2,0,0,2,0,0
2000,1,1,0,0,1,0,0
2001,0,1,0,0,2,0,0
2002,0,1,0,0,1,0,0
2003,0,2,0,0,2,0,0
2004,0,0,0,0,1,0,0
2005,1,1,0,0,0,0,0
