Launch_Year,LEO,SSO,MEO,GTO,GEO,HEO,BEO
1979,0,2,0,0,3,0,0
1980,0,2,0,0,0,1,0
1981,0,2,0,0,2,1,0
1982,0,3,0,0,2,0,0
1983,0,2,0,0,0,1,0
1984,0,3,0,0,3,1,0
1985,0,1,0,0,0,1,0
1986,0,1,0,0,0,0,0
1987,0,1,0,0,1,1,0
1988,1,1,0,0,1,0,0
1989,1,0,0,0,3,0,0
1990,4,0,0,0,1,0,0
1991,2,0,0,0,0,0,0
1992,1,1,0,0,0,0,1
1993,1,1,0,0,0,0,0
1994,1,0,0,0,3,1,0
1995,0,1,0,0,2,1,0
1996,2,1,0,0,1,0,0
1997,1,1,1,0,1,0,1
1998,0,1,0,0,2,0,0
1999,1,2,0,0,2,0,0
2000,1,1,0,0,1,0,0
2001,0,1,0,0,2,0,0
2002,0,1,0,0,1,0,0
2003,0,2,0,0,2,0,0
2004,0,0,0,0,1,0,0
2005,1,1,0,0,0,0,0
2006,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0
