Mass_Range,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
0-1t,0.0,0.0,0.0,5.096,0.0,26.796,0.0
1-2t,0.0,0.0,0.0,5.575,0.0,32.02,0.0
2-3t,0.0,2.565,0.0,23.844,0.0,144.153,0.0
3-4t,0.0,0.0,0.0,6.026,0.0,3.043,0.0
4-5t,0.0,8.572,0.0,0.0,0.0,63.654,0.0
5-6t,0.0,0.0,0.0,5.254,0.0,5.852,0.0
6-7t,0.0,0.0,0.0,0.0,0.0,45.98,0.0
7-8t,0.0,0.0,0.0,0.0,0.0,37.42,0.0
8-9t,0.0,0.0,0.0,0.0,0.0,180.905,0.0
9-10t,0.0,0.0,0.0,0.0,0.0,10.0,0.0
10-11t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-12t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-13t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-14t,0.0,0.0,0.0,0.0,0.0,68.5,0.0
