Mass_Range,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-1t,0.663,2.546,0.562,0.0,12.641,13.1,2.38
1-2t,5.716,6.445,0.0,0.0,24.202,1.232,0.0
2-3t,116.72,26.377,3.0,0.0,18.9,3.0,2.565
3-4t,3.043,0.0,0.0,0.0,0.0,0.0,6.026
4-5t,21.226,0.0,0.0,0.0,51.0,0.0,0.0
5-6t,5.852,0.0,0.0,0.0,0.0,0.0,5.254
6-7t,0.0,45.98,0.0,0.0,0.0,0.0,0.0
7-8t,14.328,23.092,0.0,0.0,0.0,0.0,0.0
8-9t,44.948,135.957,0.0,0.0,0.0,0.0,0.0
9-10t,10.0,0.0,0.0,0.0,0.0,0.0,0.0
10-11t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-12t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-13t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-14t,0.0,68.5,0.0,0.0,0.0,0.0,0.0
