,Launch_Date,A-4,V-2
0,1942-06-13,1.0,
1,1942-08-16,11.0,
2,1942-10-03,85.0,
3,1942-10-21,40.0,
4,1942-11-09,67.0,
5,1942-11-28,5.0,
6,1943-01-25,40.0,
7,1943-02-17,30.0,
8,1943-02-19,1.0,
9,1943-03-18,95.0,
10,1943-04-14,95.0,
11,1943-04-22,95.0,
12,1943-05-14,95.0,
13,1943-05-26,52.5,
14,1943-05-27,95.0,
15,1943-06-01,95.0,
16,1943-06-11,95.0,
17,1943-06-16,95.0,
18,1943-06-22,5.0,
19,1943-06-24,95.0,
20,1943-06-26,95.0,
21,1943-06-29,48.0,
22,1943-11-05,1.0,
23,1943-11-09,95.0,
24,1943-11-10,95.0,
25,1943-11-25,20.0,
26,1943-12-05,20.0,
27,1944-01-01,90.0,
28,1944-01-06,90.0,
29,1944-02-01,90.0,
30,1944-03-01,90.0,
31,1944-03-17,1.0,
32,1944-03-31,90.0,
33,1944-04-01,90.0,
34,1944-04-14,90.0,
35,1944-05-01,90.0,
36,1944-05-20,90.0,
37,1944-05-26,45.5,
38,1944-06-01,108.33333333333333,
39,1944-06-13,50.0,
40,1944-06-20,110.0,
41,1944-07-24,90.0,
42,1944-07-31,90.0,
43,1944-08-13,,90.0
44,1944-08-14,,70.14285714285714
45,1944-08-15,90.0,
46,1944-08-16,90.0,90.0
47,1944-08-17,90.0,63.333333333333336
48,1944-08-18,82.85714285714286,
49,1944-08-22,90.0,
50,1944-08-23,90.0,
51,1944-08-24,90.0,
52,1944-08-26,63.333333333333336,
53,1944-08-30,91.0,
54,1944-09-01,,95.0
55,1944-09-02,35.0,
56,1944-09-06,,1.0
57,1944-09-08,90.0,95.0
58,1944-09-10,,95.0
59,1944-09-11,,95.0
60,1944-09-12,90.0,95.0
61,1944-09-13,81.33333333333333,95.0
62,1944-09-14,118.33333333333333,95.0
63,1944-09-15,3.0,90.0
64,1944-09-16,90.0,95.0
65,1944-09-17,90.0,95.0
66,1944-09-18,90.0,95.0
67,1944-09-19,90.0,95.0
68,1944-09-20,,95.0
69,1944-09-21,90.0,
70,1944-09-22,90.0,
71,1944-09-23,66.66666666666667,
72,1944-09-24,90.0,
73,1944-09-25,90.0,95.0
74,1944-09-26,90.0,50.0
75,1944-09-27,90.0,93.33333333333333
76,1944-09-30,,90.0
77,1944-10-01,,90.0
78,1944-10-02,,90.0
79,1944-10-03,,90.0
80,1944-10-04,,90.0
81,1944-10-05,,90.0
82,1944-10-06,,90.0
83,1944-10-09,,90.0
84,1944-10-10,,90.0
85,1944-10-11,,90.0
86,1944-10-13,,90.0
87,1944-10-14,,90.0
88,1944-10-16,,90.0
89,1944-10-20,,95.0
90,1944-10-22,,90.0
91,1944-10-28,,90.0
92,1944-10-29,,90.0
93,1944-10-30,,90.0
94,1944-10-31,,90.0
95,1944-11-01,,90.0
96,1944-11-02,,90.0
97,1944-11-03,,90.0
98,1944-11-04,,90.0
99,1944-11-05,,90.0
100,1944-11-06,,90.0
101,1944-11-07,,90.0
102,1944-11-08,,90.0
103,1944-11-09,,90.0
104,1944-11-10,,90.0
105,1944-11-12,,90.0
106,1944-11-13,,90.0
107,1944-11-14,,90.0
108,1944-11-15,,90.0
109,1944-11-16,,90.0
110,1944-11-17,,90.0
111,1944-11-18,,90.0
112,1944-11-19,,90.0
113,1944-11-20,,90.0
114,1944-11-21,,90.0
115,1944-11-22,,90.0
116,1944-11-24,,72.5
117,1944-11-25,,60.0
118,1944-11-26,,90.0
119,1944-11-27,,90.0
120,1944-11-28,,90.0
121,1944-11-29,,90.0
122,1944-11-30,,90.0
123,1944-12-01,,77.28571428571429
124,1944-12-05,,90.0
125,1944-12-06,,90.0
126,1944-12-07,104.0,90.0
127,1944-12-08,,90.0
128,1944-12-09,106.0,90.0
129,1944-12-11,,90.0
130,1944-12-12,81.0,90.0
131,1944-12-13,,73.33333333333333
132,1944-12-14,,60.333333333333336
133,1944-12-15,,90.0
134,1944-12-16,,90.0
135,1944-12-17,,90.0
136,1944-12-18,,90.0
137,1944-12-19,,60.0
138,1944-12-20,,60.333333333333336
139,1944-12-21,,90.0
140,1944-12-23,,90.0
141,1944-12-25,,90.0
142,1944-12-26,,90.0
143,1944-12-27,,90.0
144,1944-12-28,,83.63636363636364
145,1944-12-30,,90.0
146,1944-12-31,,90.0
147,1945-01-01,,72.5
148,1945-01-02,,90.0
149,1945-01-03,,90.0
150,1945-01-04,,86.0
151,1945-01-08,,90.0
152,1945-01-10,90.0,
153,1945-01-11,90.0,
154,1945-01-13,,90.0
155,1945-01-20,,90.0
156,1945-01-22,,90.0
157,1945-02-08,,90.0
158,1945-02-10,,90.0
159,1945-02-11,,90.0
160,1945-02-13,,90.0
161,1945-02-14,,90.0
162,1945-02-22,,90.0
163,1945-02-26,,90.0
164,1945-02-27,,90.0
165,1945-03-03,,90.0
166,1945-03-07,,90.0
167,1945-03-08,,90.0
168,1945-03-09,,90.0
169,1945-03-11,,90.0
170,1945-03-16,,90.0
171,1945-03-17,,90.0
172,1945-03-18,,90.0
173,1945-03-21,,90.0
174,1945-03-23,,1.0
175,1945-03-25,,90.0
176,1945-03-27,,90.0
177,1945-10-02,,69.0
178,1945-10-04,,17.0
179,1945-10-15,,64.0
180,1946-04-16,,8.0
181,1946-05-10,,112.0
182,1946-05-29,,112.0
183,1946-06-13,,117.0
184,1946-06-28,,108.0
185,1946-07-09,,134.0
186,1946-07-19,,5.0
187,1946-07-30,,167.0
188,1946-08-15,,3.0
189,1946-10-10,,164.0
190,1946-10-24,,105.0
191,1946-11-21,,100.0
192,1946-12-05,,167.0
193,1946-12-18,,187.0
194,1947-01-10,,116.0
195,1947-01-24,,50.0
196,1947-02-20,,109.0
197,1947-03-07,,161.0
198,1947-04-01,,129.0
199,1947-04-09,,103.0
200,1947-04-17,,140.0
201,1947-05-15,,122.0
202,1947-07-10,,16.0
203,1947-07-29,,159.0
204,1947-09-06,,1.0
205,1947-10-09,,156.0
206,1947-10-18,86.0,
207,1947-10-20,85.0,
208,1947-10-23,14.0,
209,1947-10-28,87.0,
210,1947-11-02,88.0,
211,1947-11-04,89.0,
212,1947-11-10,11.0,
213,1947-11-13,89.0,
214,1947-11-20,,29.0
215,1947-12-08,,105.0
216,1948-01-22,,159.0
217,1948-02-06,,113.0
218,1948-03-19,,5.0
219,1948-04-02,,144.0
220,1948-04-19,,56.0
221,1948-05-27,,140.0
222,1948-06-11,,63.0
223,1948-07-26,,97.0
224,1948-08-05,,166.0
225,1948-09-03,,151.0
226,1948-11-18,,145.0
227,1948-12-09,,108.0
228,1949-01-28,,60.0
229,1949-02-17,,100.0
230,1949-03-22,,129.0
231,1949-04-11,,85.0
232,1949-05-05,,8.0
233,1949-06-14,,134.0
234,1949-09-16,,5.0
235,1949-09-29,,51.0
236,1949-11-18,,124.0
237,1949-12-08,,127.0
238,1950-02-17,,148.0
239,1950-08-31,,137.0
240,1950-10-26,,8.0
241,1951-01-18,,2.0
242,1951-03-09,,3.0
243,1951-06-28,,6.0
244,1951-08-22,,213.0
245,1951-10-29,,137.0
246,1952-05-20,,124.0
247,1952-08-22,,79.0
248,1952-09-19,,7.0
