Launch_Month,A-4,V-2
Jan 1942,0,0
Feb 1942,0,0
Mar 1942,0,0
Apr 1942,0,0
May 1942,0,0
Jun 1942,1,0
Jul 1942,0,0
Aug 1942,1,0
Sep 1942,0,0
Oct 1942,2,0
Nov 1942,2,0
Dec 1942,1,0
Jan 1943,2,0
Feb 1943,2,0
Mar 1943,3,0
Apr 1943,2,0
May 1943,4,0
Jun 1943,8,0
Jul 1943,3,0
Aug 1943,0,0
Sep 1943,0,0
Oct 1943,0,0
Nov 1943,4,0
Dec 1943,1,0
Jan 1944,7,0
Feb 1944,5,0
Mar 1944,12,0
Apr 1944,2,0
May 1944,4,0
Jun 1944,9,0
Jul 1944,2,0
Aug 1944,32,15
Sep 1944,39,63
Oct 1944,0,71
Nov 1944,0,84
Dec 1944,3,69
Jan 1945,8,45
Feb 1945,0,9
Mar 1945,0,32
Apr 1945,0,0
May 1945,0,0
Jun 1945,0,0
Jul 1945,0,0
Aug 1945,0,0
Sep 1945,0,0
Oct 1945,0,3
Nov 1945,0,0
Dec 1945,0,0
Jan 1946,0,0
Feb 1946,0,0
Mar 1946,0,0
Apr 1946,0,1
May 1946,0,2
Jun 1946,0,2
Jul 1946,0,3
Aug 1946,0,2
Sep 1946,0,0
Oct 1946,0,2
Nov 1946,0,2
Dec 1946,0,2
Jan 1947,0,2
Feb 1947,0,1
Mar 1947,0,1
Apr 1947,0,3
May 1947,0,1
Jun 1947,0,0
Jul 1947,0,2
Aug 1947,0,0
Sep 1947,0,1
Oct 1947,5,1
Nov 1947,6,1
Dec 1947,0,1
Jan 1948,0,1
Feb 1948,0,1
Mar 1948,0,1
Apr 1948,0,2
May 1948,0,1
Jun 1948,0,1
Jul 1948,0,1
Aug 1948,0,1
Sep 1948,0,1
Oct 1948,0,0
Nov 1948,0,1
Dec 1948,0,1
Jan 1949,0,1
Feb 1949,0,1
Mar 1949,0,1
Apr 1949,0,1
May 1949,0,1
Jun 1949,0,1
Jul 1949,0,0
Aug 1949,0,0
Sep 1949,0,2
Oct 1949,0,0
Nov 1949,0,1
Dec 1949,0,1
Jan 1950,0,0
Feb 1950,0,1
Mar 1950,0,0
Apr 1950,0,0
May 1950,0,0
Jun 1950,0,0
Jul 1950,0,0
Aug 1950,0,1
Sep 1950,0,0
Oct 1950,0,1
Nov 1950,0,0
Dec 1950,0,0
Jan 1951,0,1
Feb 1951,0,0
Mar 1951,0,1
Apr 1951,0,0
May 1951,0,0
Jun 1951,0,2
Jul 1951,0,0
Aug 1951,0,1
Sep 1951,0,0
Oct 1951,0,1
Nov 1951,0,0
Dec 1951,0,0
Jan 1952,0,0
Feb 1952,0,0
Mar 1952,0,0
Apr 1952,0,0
May 1952,0,1
Jun 1952,0,0
Jul 1952,0,0
Aug 1952,0,1
Sep 1952,0,1
Oct 1952,0,0
Nov 1952,0,0
Dec 1952,0,0
