Launch_Month,LEO,SSO,MEO,GTO,GEO,HEO,BEO
Jan 2024,0,0,0,0,0,0,1
Feb 2024,0,0,0,0,0,0,0
Mar 2024,0,0,0,0,0,0,0
Apr 2024,0,0,0,0,0,0,0
May 2024,0,0,0,0,0,0,0
Jun 2024,0,0,0,0,0,0,0
Jul 2024,0,0,0,0,0,0,0
Aug 2024,0,0,0,0,0,0,0
Sep 2024,0,0,0,0,0,0,0
Oct 2024,0,0,0,0,0,0,1
Nov 2024,0,0,0,0,0,0,0
Dec 2024,0,0,0,0,0,0,0
Jan 2025,0,0,0,0,0,0,0
Feb 2025,0,0,0,0,0,0,0
Mar 2025,0,0,0,0,0,0,0
Apr 2025,0,0,0,0,0,0,0
May 2025,0,0,0,0,0,0,0
Jun 2025,0,0,0,0,0,0,0
Jul 2025,0,0,0,0,0,0,0
Aug 2025,0,0,0,0,1,0,0
Sep 2025,0,0,0,0,0,0,0
Oct 2025,0,0,0,0,0,0,0
Nov 2025,0,0,0,0,0,0,0
Dec 2025,0,0,0,0,0,0,0
